config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
h8_r2_open,8,2,false,0,1.000946,1.0000666,0.5,false,-0.0035123825,-0.0004682988,1.000946,0,-0.0035123825,0,-1,NaN,2.5753522354243366,NaN,0.005,2.509,1|1|1|1,0.0035|0.0024|0.0027|0.0035,-0.0035|0.0024|0.0027|-0.0035,1.0018|0.9983|0.9984|1.0019
h8_r2_open,8,2,false,10,1.0014495,0.99668205,0.5,false,-0.0048234463,-0.000717178,1.000946,0,-0.0035123825,0,-1,0.22607702826119824,2.9474442353930894,0.13002428796498416,0.0041687395,9.1,1|1|1|1,0.0048|0.0034|0.0028|0.0042,-0.0048|0.0034|0.0028|-0.0042,0.9987|0.9947|0.9948|0.9985
h8_r2_open,8,2,false,20,1.0010612,0.9942006,0.5,false,-0.004338503,-0.0005235821,1.000946,0,-0.0035123825,0,-1,0.2297716589910043,3.2422208853232184,0.09109601862063456,0.0034061642,11.709,1|1|1|1,0.004|0.0039|0.0023|0.0043,-0.004|0.0039|0.0023|-0.0043,0.9966|0.9917|0.9926|0.9958
h8_r2_open,8,2,false,30,0.9998202,0.99152637,0.5,false,-0.0029186606,9.420514e-5,0.9998202,30,-0.0029186606,30,-1,0.21568265468921854,3.4768016947208915,0.07620804490348902,0.0027830848,14.61,1|1|1|1,0.0029|0.001|0.0045|0.0022,-0.0029|0.001|0.0045|-0.0022,0.9936|0.9912|0.9893|0.992
h8_r2_open,8,2,false,40,0.99869287,0.98932123,0.5,false,-0.0016104579,0.0006560087,0.99869287,40,-0.0016104579,40,-1,0.21236610541934398,3.684773487805337,0.05948372316667172,0.0022739833,17.561,1|1|1|1,0.0016|0.0027|0.0028|0.0013,-0.0016|0.0027|0.0028|-0.0013,0.9902|0.9879|0.9885|0.9907
h8_r2_open,8,2,false,50,0.9989892,0.98807806,0.5,false,-0.0016788244,0.0005080551,0.99869287,40,-0.0016104579,40,-1,0.2278968225106551,3.8635177308499307,0.0491306849192049,0.0018580103,20.542,1|1|1|1,0.0017|0.0018|0.0035|0.0017,-0.0017|0.0018|0.0035|-0.0017,0.9892|0.9877|0.986|0.9894
h8_r2_open,8,2,false,60,1.0003064,0.9874807,0.5,false,-0.0027036667,-0.00015152991,0.99869287,40,-0.0016104579,40,-1,0.21239666986012296,4.00133015450751,0.03996488777475521,0.00151813,23.77,1|1|1|1,0.0006|0.0004|0.0023|0.0027,-0.0006|0.0004|0.0023|-0.0027,0.9877|0.9871|0.9864|0.9888
h8_r2_open,8,2,false,70,0.9994037,0.9858977,0.5,false,-0.0019620657,0.00029964745,0.99869287,40,-0.0016104579,40,-1,0.2239054554607725,4.12070657800654,0.03269973626682523,0.001240423,26.652,1|1|1|1,0.002|0.0025|0.0013|0.0006,-0.002|0.0025|0.0013|-0.0006,0.9874|0.9848|0.9853|0.9862
h8_r2_open,8,2,false,80,0.99945426,0.98501617,0.5,false,-0.0021419525,0.00027513504,0.99869287,40,-0.0016104579,40,-1,0.21446640515508153,4.223972055559489,0.026689386500314854,0.0010135161,29.637,1|1|1|1,0.0015|0.0019|0.0028|0.0021,-0.0015|0.0019|0.0028|-0.0021,0.986|0.9843|0.9833|0.9864
h8_r2_open,8,2,false,90,0.9997854,0.9846932,0.5,false,-0.002333641,0.00010932982,0.99869287,40,-0.0016104579,40,-1,0.22100956496894028,4.324645258296618,0.022133417921659505,0.0008281166,32.815,1|1|1|1,0.0023|0.0019|0.0023|0.0014,-0.0023|0.0019|0.0023|-0.0014,0.9865|0.9836|0.9838|0.9849
h8_r2_open,8,2,false,100,1.0003662,0.9842199,0.5,false,-0.0027665496,-0.00018031895,0.99869287,40,-0.0016104579,40,-1,0.22755973951178804,4.405055323761043,0.017828438127613422,0.0006766317,35.967,1|1|1|1,0.0028|0.0022|0.0022|0.0023,-0.0028|0.0022|0.0022|-0.0023,0.9857|0.9825|0.9834|0.9852
