config,radius,periodic,hidden_side,best_mse,best_accuracy,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,run_dir
h8_r1_open,1,false,8,1.0240452,0.25,5,-0.0516268,5,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h8_r1_open
h8_r2_open,2,false,8,0.9342197,0.5,10,-0.01455051,10,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h8_r2_open
h8_r3_open,3,false,8,0.92716306,0.75,10,-0.067713425,0,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h8_r3_open
h8_r4_open,4,false,8,0.9513541,0.75,10,-0.016119605,10,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h8_r4_open
h8_r5_open,5,false,8,0.97517335,0.5,10,-0.05310933,0,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h8_r5_open
h8_r6_open,6,false,8,0.9812498,0.5,0,-0.060258716,5,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h8_r6_open
h8_r7_open,7,false,8,0.9326312,0.75,0,-0.044543155,0,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h8_r7_open
h8_r8_open,8,false,8,0.91217315,1.0,5,0.0038444623,5,5,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h8_r8_open
h8_r9_open,9,false,8,1.0022032,0.25,0,-0.024251858,0,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h8_r9_open
h8_r10_open,10,false,8,0.946183,0.75,5,-0.032851316,10,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h8_r10_open
h16_r1_open,1,false,16,0.9745496,0.5,10,-0.05154272,5,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h16_r1_open
h16_r2_open,2,false,16,0.9843658,0.75,0,-0.04919128,0,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h16_r2_open
h16_r3_open,3,false,16,0.95839643,0.75,5,-0.016568966,5,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h16_r3_open
h16_r4_open,4,false,16,1.0118477,0.5,0,-0.059910268,0,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h16_r4_open
h16_r5_open,5,false,16,1.0044199,0.5,5,-0.023061551,5,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h16_r5_open
h16_r6_open,6,false,16,1.041417,0.75,0,-0.11044581,10,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h16_r6_open
h16_r7_open,7,false,16,0.9690249,0.75,10,-0.0811013,0,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h16_r7_open
h16_r8_open,8,false,16,0.9319548,1.0,0,0.013795653,0,0,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h16_r8_open
h16_r9_open,9,false,16,0.9090672,1.0,5,0.010259103,5,5,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h16_r9_open
h16_r10_open,10,false,16,0.9468334,0.75,5,-0.03422364,5,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_scout_h8h16_r1to10_e10\h16_r10_open
