epoch,mse,output_mse,spin_score_mse,accuracy,all_correct,min_margin,mean_margin,scores,spin_scores,predictions,outputs
0,0.9150390625,0.9678329412608736,0.957959546705344,0.5,false,-0.0625,0.046875,-0.125|0.125|-0.0625|0.0,-0.0792|0.0201|-0.0136|-0.0018,-1.0|1.0|-1.0|1.0,-0.1433|-0.0745|0.0836|-0.1826|-0.0539|0.1002|0.1011|-0.0668|-0.1347|0.0766|-0.0353|0.0391|-0.0912|-0.1079|-0.0185|0.2105
25,1.0302734375,1.0314583972561686,1.0286093989121503,0.25,false,-0.1875,0.015625,0.0625|0.4375|-0.1875|0.125,0.0723|0.3337|-0.0994|0.1453,1.0|1.0|-1.0|1.0,-0.0047|0.1203|0.1347|0.0391|0.3589|0.3686|0.261|0.3461|-0.1876|-0.0723|-0.0106|-0.1272|0.0928|0.2133|0.1236|0.1516
50,0.728515625,0.7674847728612527,0.7665281508829386,1.0,true,0.0625,0.15625,-0.0625|0.125|0.375|-0.0625,-0.0123|0.1391|0.3468|-0.0393,-1.0|1.0|1.0|-1.0,0.0205|0.0036|0.0068|-0.0802|0.1482|0.1227|0.1582|0.1273|0.3758|0.3441|0.309|0.3583|-0.0747|0.0155|-0.0236|-0.0746
75,0.5439453125,0.5543218850077228,0.5541018754008841,1.0,true,0.1875,0.265625,-0.25|0.375|0.25|-0.1875,-0.2711|0.3561|0.2459|-0.1622,-1.0|1.0|1.0|-1.0,-0.2955|-0.2531|-0.2884|-0.2472|0.372|0.3424|0.3639|0.3462|0.2466|0.2473|0.2483|0.2416|-0.1582|-0.1841|-0.1682|-0.1383
100,0.6865234375,0.6914268008768061,0.6913280127999619,1.0,true,0.125,0.171875,-0.1875|0.1875|0.125|-0.1875,-0.1897|0.1831|0.1238|-0.1793,-1.0|1.0|1.0|-1.0,-0.1896|-0.2141|-0.184|-0.171|0.1872|0.1727|0.1859|0.1866|0.1216|0.1248|0.1236|0.1251|-0.1844|-0.1861|-0.1609|-0.1857
125,0.7470703125,0.7505048469083094,0.7504475037468036,1.0,true,0.0,0.140625,-0.25|0.1875|0.0|-0.125,-0.2485|0.1753|0.0061|-0.1231,-1.0|1.0|1.0|-1.0,-0.2469|-0.2477|-0.2509|-0.2483|0.1668|0.1613|0.1861|0.1871|-0.0011|0.0034|0.0219|0.0002|-0.1235|-0.1222|-0.1277|-0.1188
150,0.6494140625,0.6512208212001607,0.6511338372036436,1.0,true,0.0625,0.203125,-0.125|0.25|0.0625|-0.375,-0.1183|0.2615|0.0574|-0.3728,-1.0|1.0|1.0|-1.0,-0.125|-0.1005|-0.1241|-0.1238|0.2739|0.248|0.277|0.2473|0.0611|0.0456|0.0616|0.0615|-0.3715|-0.3736|-0.3731|-0.3728
175,0.474609375,0.4893938335569174,0.48932725330048266,1.0,true,0.25,0.3125,-0.375|0.3125|0.25|-0.3125,-0.3644|0.3074|0.2273|-0.3096,-1.0|1.0|1.0|-1.0,-0.372|-0.3619|-0.3711|-0.3524|0.3103|0.3|0.3085|0.3106|0.2041|0.2327|0.2367|0.2359|-0.3116|-0.3083|-0.3089|-0.3098
200,0.6591796875,0.6636802194869988,0.6636204210315709,0.75,false,-0.1875,0.234375,0.1875|0.25|0.3125|-0.5625,0.1811|0.2481|0.3102|-0.5327,1.0|1.0|1.0|-1.0,0.1677|0.1835|0.1866|0.1866|0.2477|0.2476|0.2477|0.2496|0.3103|0.3097|0.3112|0.3096|-0.5494|-0.5145|-0.5404|-0.5267
225,0.5712890625,0.5775257640632968,0.577513513429052,0.75,false,-0.0,0.265625,-0.25|0.3125|0.5|0.0,-0.2403|0.308|0.496|0.0,-1.0|1.0|1.0|1.0,-0.232|-0.2411|-0.2454|-0.2429|0.3109|0.3109|0.3005|0.3096|0.4981|0.4958|0.4937|0.4963|0.0016|0.0005|0.0002|-0.0023
250,0.4580078125,0.4689923272553922,0.4689447132845602,1.0,true,0.25,0.328125,-0.25|0.375|0.25|-0.4375,-0.2466|0.3719|0.2379|-0.4231,-1.0|1.0|1.0|-1.0,-0.2464|-0.2479|-0.2457|-0.2462|0.372|0.3723|0.3712|0.3721|0.2471|0.2313|0.2438|0.2293|-0.4131|-0.4104|-0.4348|-0.4342
275,0.29296875,0.2967965132686466,0.29679518454315407,1.0,true,0.3125,0.46875,-0.4375|0.3125|0.5625|-0.5625,-0.4339|0.3101|0.5578|-0.5582,-1.0|1.0|1.0|-1.0,-0.4316|-0.4347|-0.4351|-0.4342|0.3087|0.3106|0.31|0.3109|0.5587|0.5579|0.5576|0.5571|-0.5593|-0.5598|-0.5559|-0.5577
300,0.666015625,0.6766068799109571,0.676565804610815,1.0,true,0.125,0.1875,-0.125|0.125|0.3125|-0.1875,-0.1136|0.1176|0.309|-0.1848,-1.0|1.0|1.0|-1.0,-0.1199|-0.0957|-0.1241|-0.1149|0.115|0.122|0.1091|0.1242|0.3107|0.304|0.3104|0.3109|-0.185|-0.1825|-0.1852|-0.1866
