epoch,mse,output_mse,spin_score_mse,accuracy,all_correct,min_margin,mean_margin,scores,spin_scores,predictions,outputs
0,1.2451171875,1.0090964028967067,0.9998171118219775,0.25,false,-0.25,-0.109375,0.1875|-0.0625|0.0625|0.25,0.048|0.0438|0.0568|0.0474,1.0|-1.0|1.0|1.0,0.0147|-0.0217|0.1832|0.0158|-0.0146|0.0481|0.1497|-0.0081|0.0013|-0.0859|0.184|0.128|-0.1121|0.0884|-0.0097|0.2229
25,1.013671875,0.9952756550036879,0.9867215825297162,0.5,false,-0.125,0.0,-0.1875|-0.0625|0.0|0.125,-0.0605|0.0116|0.0156|0.0575,-1.0|-1.0|1.0|1.0,0.0472|-0.0804|-0.017|-0.192|0.0341|-0.0196|0.155|-0.1232|-0.0867|0.1272|0.0406|-0.0187|0.0385|-0.0953|0.1774|0.1092
50,1.068359375,1.043607491376929,1.0365557880327998,0.5,false,-0.125,-0.03125,-0.0625|0.0|-0.125|0.0625,-0.018|-0.0227|-0.0923|-0.029,-1.0|1.0|-1.0|1.0,-0.0572|-0.1252|0.1085|0.0018|-0.074|0.0977|-0.0919|-0.0224|-0.122|-0.1265|-0.0582|-0.0625|-0.013|0.1553|-0.0899|-0.1684
75,1.2431640625,1.0027296581165024,0.9943937255771496,0.25,false,-0.25,-0.109375,0.125|-0.25|0.0625|0.125,0.0083|-0.0673|0.0615|-0.03,1.0|-1.0|1.0|1.0,0.0221|0.0939|0.0489|-0.1316|-0.0076|0.0147|-0.0488|-0.2275|0.2409|0.0147|0.0499|-0.0594|0.057|-0.0557|0.0068|-0.1282
100,1.134765625,1.0518888852158128,1.0487322355708781,0.25,false,-0.125,-0.0625,0.125|0.0625|-0.125|0.0625,0.0404|0.0216|-0.0505|0.0256,1.0|1.0|-1.0|1.0,0.0381|-0.0173|0.1353|0.0053|-0.0395|0.028|0.0837|0.0142|-0.0403|-0.0859|-0.1217|0.0462|0.1258|-0.0064|-0.0148|-0.0024
125,1.013671875,1.0211916951858917,1.0085955613723556,0.25,false,-0.125,0.0,0.0625|-0.125|0.1875|0.0,0.0232|-0.0122|-0.0068|-0.0257,1.0|-1.0|1.0|1.0,-0.1061|0.0191|0.2799|-0.0999|0.0253|-0.0808|0.1305|-0.1235|-0.1411|-0.0501|0.1955|-0.0314|-0.0305|-0.05|0.0236|-0.0459
150,1.1162109375,1.0320984393155612,1.0241091336664898,0.5,false,-0.4375,-0.015625,-0.1875|0.3125|-0.125|0.4375,-0.0199|0.0873|-0.0176|0.1257,-1.0|1.0|-1.0|1.0,-0.0375|0.0226|-0.1312|0.0663|0.0031|0.2963|-0.0186|0.0683|-0.0183|-0.1615|0.0705|0.0387|0.2188|0.1095|0.0827|0.0919
175,0.798828125,0.9664050034354732,0.9568088716561203,0.75,false,-0.125,0.125,-0.0625|0.1875|-0.125|-0.375,-0.0367|-0.003|-0.0462|-0.1063,-1.0|1.0|-1.0|-1.0,0.0039|0.0881|-0.2244|-0.0143|0.0167|0.0457|0.08|-0.1542|-0.0457|-0.2102|-0.0388|0.1097|-0.0284|-0.0667|-0.1313|-0.1987
200,1.1025390625,1.0268451833987695,1.018381954948789,0.5,false,-0.125,-0.046875,0.125|-0.125|0.0|-0.0625,0.0118|-0.0494|-0.0145|-0.0413,1.0|-1.0|1.0|-1.0,-0.0686|0.0485|0.0738|-0.0063|-0.1204|0.1423|-0.004|-0.2157|-0.0168|0.0169|0.1114|-0.1696|-0.0573|0.0382|-0.038|-0.108
225,0.8544921875,1.0020287337001836,0.9858088762473025,1.0,true,0.0,0.078125,-0.0625|0.1875|0.0|-0.0625,-0.0255|0.0706|-0.0182|0.0455,-1.0|1.0|1.0|-1.0,-0.1285|0.2917|-0.2421|-0.0229|0.0395|0.1777|0.1045|-0.0393|-0.1588|0.123|0.0344|-0.0716|0.0949|0.0197|-0.0826|0.1497
250,0.966796875,1.0143782757195554,1.0084535401336154,0.75,false,-0.25,0.03125,-0.0625|0.125|-0.25|-0.1875,-0.0234|0.0273|-0.094|-0.032,-1.0|1.0|-1.0|-1.0,-0.1832|-0.0302|0.0582|0.0615|-0.1033|0.0778|0.0721|0.0625|-0.0819|0.0102|-0.2046|-0.0999|-0.1019|0.0337|-0.025|-0.0348
275,1.08203125,1.020059954991511,1.015673856922394,0.75,false,-0.25,-0.03125,0.25|0.0|0.0|-0.125,0.0264|-0.0353|0.0363|0.0044,1.0|1.0|1.0|-1.0,0.0596|-0.0484|-0.0075|0.1018|-0.0801|-0.1097|0.0299|0.0188|0.077|0.0622|-0.1091|0.1151|0.0489|0.0353|0.0234|-0.0901
300,1.1279296875,1.0177939769498578,1.0150003740440363,0.5,false,-0.25,-0.046875,-0.0625|0.1875|-0.25|0.1875,-0.0413|0.0514|-0.0675|0.0496,-1.0|1.0|-1.0|1.0,-0.0606|-0.0115|-0.0593|-0.0339|0.035|0.0182|-0.0002|0.1527|-0.0799|-0.003|-0.1073|-0.0796|0.0178|-0.0208|0.1766|0.0248
