epoch,mse,output_mse,spin_score_mse,accuracy,all_correct,min_margin,mean_margin,scores,spin_scores,predictions,outputs
0,0.9404296875,1.0062689158244704,0.9919369916283234,0.5,false,-0.1875,0.046875,0.0625|0.25|0.1875|0.1875,0.0768|0.0872|0.1011|0.0803,1.0|1.0|1.0|1.0,0.0768|-0.0933|0.142|0.1816|0.0188|-0.0631|0.0845|0.3086|-0.0694|0.0325|0.2192|0.2222|-0.0854|0.0599|0.1988|0.148
25,1.349609375,1.11409042040329,1.0754741905790348,0.25,false,-0.3125,-0.15625,0.3125|0.0|-0.1875|0.125,0.0553|0.0389|-0.0635|0.0647,1.0|1.0|-1.0|1.0,0.0229|-0.2159|0.1489|0.2652|-0.1987|-0.0909|0.1754|0.2696|-0.4042|-0.0805|0.0938|0.1369|0.0716|-0.2656|0.1903|0.2624
50,1.064453125,1.0947087187132665,1.0528367014601634,0.25,false,-0.0625,-0.03125,0.0|-0.0625|0.0|0.0625,0.0352|-0.0247|0.0195|0.0623,1.0|-1.0|1.0|1.0,-0.1371|-0.1961|0.1416|0.3323|-0.1596|-0.2956|0.1229|0.2335|-0.0423|-0.3037|0.2616|0.1624|-0.0379|-0.1434|0.1133|0.3171
75,1.1220703125,1.0519604054307103,0.9874265620707599,0.5,false,-0.25,-0.046875,0.125|0.0|0.1875|0.25,0.027|0.0188|0.0546|0.019,1.0|1.0|1.0|1.0,-0.2534|-0.2328|0.2938|0.3002|-0.2312|-0.1965|0.2919|0.211|-0.174|-0.2145|0.2762|0.3307|-0.1371|-0.3266|0.2538|0.2861
100,0.8720703125,1.030622502221572,0.9232302182044154,0.5,false,-0.125,0.078125,0.0|0.25|-0.125|-0.1875,0.0411|0.1024|0.042|-0.0589,1.0|1.0|-1.0|-1.0,-0.0892|-0.39|0.3209|0.3227|-0.1641|-0.1515|0.4196|0.3058|-0.3855|-0.357|0.3714|0.539|-0.1268|-0.5339|0.1617|0.2635
125,1.1806640625,1.1872051841525308,1.0623702465350078,0.25,false,-0.25,-0.078125,0.0625|0.125|-0.125|0.25,0.0845|0.0216|-0.0318|0.0255,1.0|1.0|-1.0|1.0,-0.1819|-0.1441|0.3556|0.3083|-0.3178|-0.2205|0.312|0.3129|-0.249|-0.4909|0.3918|0.2211|-0.383|-0.5041|0.398|0.5912
150,0.966796875,1.1178539752492862,0.9856356970152772,0.5,false,-0.1875,0.03125,0.1875|0.125|0.25|0.0625,0.0413|0.0547|0.039|0.0204,1.0|1.0|1.0|1.0,-0.2486|-0.3494|0.3394|0.4238|-0.1879|-0.4059|0.3774|0.4353|-0.2517|-0.2341|0.39|0.2519|-0.4105|-0.4344|0.3882|0.5383
175,1.0322265625,1.10618424502537,0.9775691908575751,0.25,false,-0.0625,-0.015625,0.0|0.0|-0.0625|0.0,-0.0105|-0.0018|0.008|-0.0286,1.0|1.0|-1.0|1.0,-0.3482|-0.2821|0.2945|0.2937|-0.3617|-0.327|0.4267|0.2548|-0.4953|-0.4014|0.5456|0.383|-0.2601|-0.3818|0.2628|0.2646
200,1.1455078125,1.124012545368945,1.0334492004686833,0.5,false,-0.375,-0.046875,-0.25|0.0|-0.375|0.0625,-0.0963|0.0446|-0.1715|0.0158,-1.0|1.0|-1.0|1.0,-0.355|-0.4063|0.2772|0.0989|-0.2843|-0.1265|0.2122|0.3772|-0.4856|-0.4927|0.1659|0.1263|-0.3208|-0.2747|0.2002|0.4587
225,1.177734375,1.1829041196082948,1.1062947351148382,0.75,false,-0.4375,-0.0625,-0.125|0.0|-0.4375|-0.0625,-0.011|-0.0247|-0.1611|0.0242,-1.0|1.0|-1.0|-1.0,-0.2556|-0.4037|0.4437|0.1715|-0.0966|-0.1799|0.1674|0.0104|-0.5167|-0.5433|0.3279|0.0878|-0.0469|-0.2378|0.2183|0.1633
250,1.134765625,1.0983832705657979,1.0763677681684831,0.25,false,-0.125,-0.0625,0.125|-0.0625|-0.125|-0.0625,0.1338|0.0071|-0.0634|-0.0497,1.0|-1.0|-1.0|-1.0,-0.0278|-0.136|0.3003|0.3987|-0.0655|-0.1414|0.0779|0.1573|-0.2172|-0.1846|0.1788|-0.0308|-0.0339|-0.0923|-0.0387|-0.0338
275,1.0302734375,0.968341484426217,0.9322519529718357,0.5,false,-0.3125,0.015625,0.0625|0.375|-0.3125|-0.0625,0.02|0.2696|-0.1726|-0.1168,1.0|1.0|-1.0|-1.0,-0.0008|-0.0773|0.1485|0.0097|0.351|0.4058|0.2034|0.1181|-0.5368|-0.496|0.2275|0.115|-0.1517|-0.0445|-0.0605|-0.2104
300,0.8837890625,0.9920199498060253,0.9802386927763983,0.75,false,-0.1875,0.078125,-0.25|0.0|0.25|0.1875,-0.1265|-0.0003|0.0741|0.1403,-1.0|1.0|1.0|1.0,-0.2319|-0.3299|-0.0169|0.0726|-0.0889|-0.0221|0.0885|0.0214|-0.0702|0.1303|0.2253|0.0111|0.0489|0.2023|0.1089|0.2009
325,0.73828125,0.901396427516547,0.896557617542169,0.5,false,-0.0,0.15625,0.0|0.375|0.25|0.0,0.0263|0.2809|0.1013|0.0992,1.0|1.0|1.0|1.0,-0.0778|0.02|0.0986|0.0643|0.2807|0.2457|0.4117|0.1855|0.0179|0.0272|0.185|0.1752|0.0253|0.1365|0.1169|0.118
350,0.9990234375,1.1737961652701037,1.1716000772571726,0.5,false,-0.1875,0.015625,0.1875|0.1875|0.1875|0.125,0.2595|0.0212|0.0631|0.1243,1.0|1.0|1.0|1.0,0.28|0.2055|0.3046|0.248|0.0759|-0.0334|-0.027|0.0691|0.0168|0.0163|0.1638|0.0555|0.0889|0.1616|0.0929|0.1538
375,0.8603515625,0.8439589508659822,0.8364460277719897,0.75,false,-0.0,0.078125,-0.0625|0.0|0.25|0.0,-0.0578|-0.0178|0.2794|-0.0498,-1.0|1.0|1.0|1.0,-0.2067|-0.1648|0.022|0.1182|-0.0407|-0.0625|0.0302|0.0017|0.1859|0.1784|0.3341|0.4194|-0.0396|-0.0792|-0.0142|-0.0661
400,0.943359375,0.9765379709171004,0.975097304854598,0.75,false,-0.0625,0.03125,-0.0625|0.0|-0.0625|-0.125,-0.0701|-0.0456|-0.0752|-0.1132,-1.0|1.0|-1.0|-1.0,-0.0802|-0.0539|-0.0371|-0.1093|0.0009|-0.0368|-0.0683|-0.0783|-0.1506|-0.0662|-0.0148|-0.0691|-0.0947|-0.1042|-0.0724|-0.1817
425,0.837890625,0.9160014292956612,0.9146751353888461,0.5,false,-0.1875,0.125,0.0625|-0.1875|0.5|-0.25,0.0783|-0.2476|0.5218|-0.157,1.0|-1.0|1.0|-1.0,0.0562|0.1022|0.0913|0.0636|-0.2216|-0.2591|-0.2249|-0.2848|0.4636|0.4567|0.5713|0.5955|-0.183|-0.1296|-0.166|-0.1493
450,0.8134765625,0.8349417668601996,0.8338870646562765,0.75,false,-0.125,0.109375,0.125|0.25|0.1875|-0.125,0.1398|0.231|0.1819|-0.1191,1.0|1.0|1.0|-1.0,0.1457|0.0691|0.1687|0.1757|0.1793|0.2207|0.253|0.2712|0.2025|0.1867|0.204|0.1345|-0.1487|-0.0924|-0.1235|-0.1119
475,0.9716796875,0.9608764711419968,0.9591642950552532,0.5,false,-0.0625,0.015625,0.0|0.0625|0.0625|0.0625,-0.0055|0.0183|0.0824|0.0207,1.0|1.0|1.0|1.0,-0.0082|0.0245|-0.0143|-0.024|0.042|0.0479|-0.0245|0.0077|0.0313|0.0415|0.1197|0.1372|0.0493|0.1012|-0.0146|-0.0531
500,0.888671875,0.8608551509262715,0.8602248467785786,0.75,false,-0.0625,0.0625,0.0625|0.0|0.1875|-0.125,0.0596|0.036|0.2185|-0.1178,1.0|1.0|1.0|-1.0,0.0385|0.0179|0.0792|0.1028|0.0095|0.0592|0.0468|0.0286|0.244|0.2018|0.233|0.1952|-0.1297|-0.1487|-0.1129|-0.08
525,1.138671875,1.119382384564956,1.1174241301488943,0.25,false,-0.1875,-0.0625,0.125|-0.1875|0.0625|0.0,0.1637|-0.1182|0.0338|-0.0347,1.0|-1.0|1.0|1.0,0.1173|0.1377|0.2224|0.1772|-0.0973|-0.0866|-0.1402|-0.1485|-0.0325|-0.0206|0.0604|0.1279|-0.0783|-0.0594|0.0113|-0.0125
550,0.83984375,0.8633047723112919,0.8625473637673987,0.75,false,-0.0625,0.09375,-0.0625|0.0625|0.3125|0.0625,-0.0473|0.0879|0.2634|0.0808,-1.0|1.0|1.0|1.0,-0.0986|-0.0535|-0.0349|-0.0024|0.0613|0.0723|0.1083|0.1096|0.2302|0.2438|0.2778|0.3017|0.092|0.1118|0.0476|0.0716
575,0.8095703125,0.8428273928697518,0.8421866268366479,0.75,false,-0.0,0.109375,-0.125|0.3125|0.0|0.0,-0.0858|0.2259|0.0323|-0.0014,-1.0|1.0|1.0|1.0,-0.0391|-0.0995|-0.0911|-0.1133|0.281|0.2294|0.1755|0.2177|0.0412|0.0263|0.0477|0.0138|-0.0226|0.0038|-0.002|0.0151
600,1.013671875,0.9927769589550208,0.9918439301816422,0.5,false,-0.125,0.0,-0.1875|-0.0625|0.0|0.125,-0.1968|-0.0862|-0.0056|0.0636,-1.0|-1.0|1.0|1.0,-0.2171|-0.227|-0.171|-0.1721|-0.0745|-0.0627|-0.0898|-0.1176|-0.0014|-0.0151|0.0059|-0.0117|0.0807|0.1162|-0.0206|0.0783
625,0.841796875,0.8763246122417769,0.8749635227973496,0.5,false,-0.0625,0.09375,0.0|0.3125|0.125|0.0625,0.0305|0.2734|0.133|0.0762,1.0|1.0|1.0|1.0,0.0633|-0.0081|0.0217|0.0452|0.2827|0.2887|0.2291|0.293|0.0839|0.101|0.1511|0.196|0.0592|0.0108|0.1008|0.134
650,1.07421875,1.0622648225650266,1.0614386771919224,0.5,false,-0.125,-0.03125,0.125|0.0|-0.125|-0.125,0.12|0.0003|-0.0979|-0.1131,1.0|1.0|-1.0|-1.0,0.1251|0.1108|0.1174|0.1267|-0.0007|0.0378|-0.0723|0.0364|-0.1068|-0.1376|-0.072|-0.0752|-0.1452|-0.1259|-0.0864|-0.0949
675,0.8857421875,0.8686760012356382,0.8677972410063823,0.75,false,-0.1875,0.078125,-0.3125|-0.1875|0.0|-0.1875,-0.3306|-0.1872|0.0257|-0.1848,-1.0|-1.0|1.0|-1.0,-0.3741|-0.2981|-0.2722|-0.378|-0.2096|-0.1693|-0.1695|-0.2002|0.0056|-0.0012|0.053|0.0455|-0.1777|-0.1964|-0.2117|-0.1535
700,1.0546875,1.0816755237369344,1.0790895797131284,0.75,false,-0.375,0.0,-0.25|0.0|-0.375|-0.125,-0.2025|-0.0104|-0.3593|-0.099,-1.0|1.0|-1.0|-1.0,-0.1823|-0.237|-0.243|-0.1478|-0.0476|0.0103|-0.028|0.0238|-0.4545|-0.4215|-0.2857|-0.2755|-0.0325|-0.1183|-0.1396|-0.1055
725,1.00390625,0.9998042831557475,0.9980588659636224,0.5,false,-0.0625,0.0,0.0625|-0.0625|0.0625|-0.0625,0.076|-0.0256|0.0469|-0.065,1.0|-1.0|1.0|-1.0,0.0142|0.0705|0.1308|0.0883|-0.025|-0.0282|-0.0141|-0.0351|-0.0384|0.0046|0.0961|0.1254|-0.0401|-0.0374|-0.1032|-0.0791
750,0.900390625,0.8960569653801638,0.8957791268965164,0.75,false,-0.1875,0.0625,0.1875|0.125|0.1875|-0.125,0.1648|0.1138|0.1897|-0.1144,1.0|1.0|1.0|-1.0,0.1857|0.1574|0.164|0.1523|0.0813|0.1308|0.1029|0.1403|0.1793|0.1833|0.1852|0.2109|-0.123|-0.1361|-0.097|-0.1014
775,1.0107421875,0.9512786429144421,0.9497549560969509,0.5,false,-0.25,0.015625,0.25|0.3125|0.0625|0.0625,0.204|0.341|0.0701|0.0249,1.0|1.0|1.0|1.0,0.1978|0.1941|0.2299|0.1941|0.3495|0.3252|0.3528|0.3365|0.0677|-0.0407|0.1178|0.1356|0.0019|0.0128|0.0049|0.0802
