best_accuracy,best_epoch,best_mse,free_relaxation,hidden_local_scale,hidden_nn,hidden_output_scale,idx,input_hidden_scale,label,lr,nudged_relaxation,outdir,temp_fraction
1.0,400,0.6505297427089916,500,0.04,1,0.12,1,0.12,NN1_T0.015_io0.12_h0.04_lr0.002,0.002,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_signal_grid_20260512_154608/01_NN1_T0p015_io0p12_h0p04_lr0p002,0.015
1.0,300,0.6044025079682414,500,0.04,1,0.16,2,0.16,NN1_T0.025_io0.16_h0.04_lr0.002,0.002,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_signal_grid_20260512_154608/02_NN1_T0p025_io0p16_h0p04_lr0p002,0.025
1.0,200,0.6143876894722781,500,0.04,1,0.16,3,0.16,NN1_T0.05_io0.16_h0.04_lr0.002,0.002,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_signal_grid_20260512_154608/03_NN1_T0p05_io0p16_h0p04_lr0p002,0.05
1.0,300,0.6806858457350196,500,0.025,2,0.16,4,0.16,NN2_T0.015_io0.16_h0.025_lr0.002,0.002,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_signal_grid_20260512_154608/04_NN2_T0p015_io0p16_h0p025_lr0p002,0.015
1.0,400,0.529322839277286,500,0.025,2,0.16,5,0.16,NN2_T0.025_io0.16_h0.025_lr0.002,0.002,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_signal_grid_20260512_154608/05_NN2_T0p025_io0p16_h0p025_lr0p002,0.025
1.0,200,0.5614497834495826,500,0.025,2,0.2,6,0.2,NN2_T0.05_io0.2_h0.025_lr0.002,0.002,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_signal_grid_20260512_154608/06_NN2_T0p05_io0p2_h0p025_lr0p002,0.05
1.0,300,0.5869354651622632,500,0.015,3,0.2,7,0.2,NN3_T0.025_io0.2_h0.015_lr0.002,0.002,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_signal_grid_20260512_154608/07_NN3_T0p025_io0p2_h0p015_lr0p002,0.025
1.0,400,0.609628469231431,500,0.015,3,0.2,8,0.2,NN3_T0.05_io0.2_h0.015_lr0.002,0.002,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_signal_grid_20260512_154608/08_NN3_T0p05_io0p2_h0p015_lr0p002,0.05
1.0,200,0.7605014445970841,500,0.008,5,0.2,9,0.2,NN5_T0.025_io0.2_h0.008_lr0.002,0.002,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_signal_grid_20260512_154608/09_NN5_T0p025_io0p2_h0p008_lr0p002,0.025
1.0,100,0.8013393400947971,500,0.008,5,0.2,10,0.2,NN5_T0.05_io0.2_h0.008_lr0.002,0.002,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_signal_grid_20260512_154608/10_NN5_T0p05_io0p2_h0p008_lr0p002,0.05
1.0,1,0.6490382260942885,500,0.005,5,0.25,11,0.25,NN5_T0.025_io0.25_h0.005_lr0.002,0.002,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_signal_grid_20260512_154608/11_NN5_T0p025_io0p25_h0p005_lr0p002,0.025
1.0,1,0.7119171930445226,500,0.005,5,0.25,12,0.25,NN5_T0.08_io0.25_h0.005_lr0.002,0.002,500,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_signal_grid_20260512_154608/12_NN5_T0p08_io0p25_h0p005_lr0p002,0.08
