column,graph_kind,mean_abs_response,mean_response,nn,repeat,source_case,sweep,target_case
1,initial,0.0,0.0,1,1,1,0,2
2,initial,0.0,0.0,1,1,1,0,2
3,initial,0.0,0.0,1,1,1,0,2
4,initial,0.0,0.0,1,1,1,0,2
5,initial,0.0,0.0,1,1,1,0,2
6,initial,0.0,0.0,1,1,1,0,2
7,initial,0.0,0.0,1,1,1,0,2
8,initial,0.0,0.0,1,1,1,0,2
1,initial,0.08254521222204181,-0.0549385166206833,1,1,1,1,2
2,initial,0.07720707746250859,0.007635783144791609,1,1,1,1,2
3,initial,0.0519078706886274,0.01989940530695244,1,1,1,1,2
4,initial,0.07492538843252827,-0.014158782106390148,1,1,1,1,2
5,initial,0.050784587172868836,-0.041549492955905445,1,1,1,1,2
6,initial,0.10807313936358405,0.008134147103350267,1,1,1,1,2
7,initial,0.10101866609865312,0.02957938985653876,1,1,1,1,2
8,initial,0.09413291407171437,0.0004008198606215499,1,1,1,1,2
1,initial,0.0933508554642305,-0.04221099542316897,1,1,1,2,2
2,initial,0.07623986816083278,-0.008257032589853233,1,1,1,2,2
3,initial,0.09906372548680395,-0.03388134257432893,1,1,1,2,2
4,initial,0.16032214712502058,0.03190117267134212,1,1,1,2,2
5,initial,0.08377935645642647,-0.027794911724839624,1,1,1,2,2
6,initial,0.14442755175622243,0.0038255428342630973,1,1,1,2,2
7,initial,0.08551736729935391,0.008441257256784407,1,1,1,2,2
8,initial,0.08880090139851803,-0.012988811276037245,1,1,1,2,2
1,initial,0.1405919234419123,-0.06082762316689004,1,1,1,3,2
2,initial,0.0547471762977758,0.024739442495241418,1,1,1,3,2
3,initial,0.15458643910462322,-0.07729901248150796,1,1,1,3,2
4,initial,0.161200712350353,0.03220478282192638,1,1,1,3,2
5,initial,0.08873133674754267,-0.033046776859370006,1,1,1,3,2
6,initial,0.15206978026860607,-0.041409603706048376,1,1,1,3,2
7,initial,0.1032991751017308,0.04727838358477611,1,1,1,3,2
8,initial,0.13296759304943367,0.012711562311948518,1,1,1,3,2
1,initial,0.15289741026739812,-0.09543302084307054,1,1,1,4,2
2,initial,0.07459959772409028,0.008467988623275753,1,1,1,4,2
3,initial,0.17410126350544214,-0.09464510299579099,1,1,1,4,2
4,initial,0.1857733422905788,0.07591796630029536,1,1,1,4,2
5,initial,0.10930531719981937,0.03673563911833185,1,1,1,4,2
6,initial,0.17463945258927172,-0.0503774126168125,1,1,1,4,2
7,initial,0.13760819433876087,0.042653500162840655,1,1,1,4,2
8,initial,0.1355743156659119,0.009411674252098864,1,1,1,4,2
1,initial,0.16540778850153115,-0.09282746109864248,1,1,1,5,2
2,initial,0.08825479323869384,-0.0028237834087584367,1,1,1,5,2
3,initial,0.1547720594322606,-0.046453469932625086,1,1,1,5,2
4,initial,0.22982634546307806,0.08175766548292614,1,1,1,5,2
5,initial,0.11134326616065346,-0.0017113790870122783,1,1,1,5,2
6,initial,0.21153705978838816,-0.02090072179179718,1,1,1,5,2
7,initial,0.10696528003478892,0.07543868945929386,1,1,1,5,2
8,initial,0.20545754445237197,0.06373938452827882,1,1,1,5,2
1,initial,0.15961012757652326,-0.12556688850489173,1,1,1,6,2
2,initial,0.1090957816673337,0.042273703242121694,1,1,1,6,2
