from_snapshot,to_snapshot,from_sweep,to_sweep,cosine,centered_cosine,relative_change_norm,output_from,output_to
0,1,0,10,0.521885952512384,0.5157090562804045,1.152558083039545,-0.708628425440313,-0.6251209746233868
1,2,10,20,0.8715996368224065,0.8713735134782181,0.5194483924295592,-0.6251209746233868,-0.9020918388085897
2,3,20,30,0.9190056811073465,0.9187589848058355,0.4189936713729943,-0.9020918388085897,-0.9729849994251873
3,4,30,40,0.9431395241703886,0.9429705250273678,0.3430272563906314,-0.9729849994251873,-0.9405989295679018
4,5,40,50,0.9412042349540477,0.9414664599392222,0.34854659995314424,-0.9405989295679018,-0.9185473855295387
5,6,50,60,0.9556571170664027,0.9556463801832646,0.2954905164335371,-0.9185473855295387,-0.6375515574256143
6,7,60,70,0.9623686225355247,0.9624650064433008,0.2749446442063028,-0.6375515574256143,-0.9046921722882394
7,8,70,80,0.9415723431144829,0.9430896901486604,0.34004595785367714,-0.9046921722882394,-0.9378989435836846
8,9,80,90,0.9566680716564679,0.956925785784319,0.29299131784901644,-0.9378989435836846,-0.6394256929430249
9,10,90,100,0.959421141381502,0.9597782966061876,0.28435328759539585,-0.6394256929430249,-0.5682324308602964
10,11,100,110,0.9530033217178803,0.9530276017400083,0.3199412135329394,-0.5682324308602964,-0.8486576272312334
11,12,110,120,0.9686114046249611,0.9687362421896097,0.24859489460110626,-0.8486576272312334,-0.7192623353740113
12,13,120,130,0.9677430890069607,0.968110024399304,0.25777332545415405,-0.7192623353740113,-0.4298937473290456
13,14,130,140,0.9445282244236696,0.9475086093413156,0.3317995209543832,-0.4298937473290456,-0.7550743854644445
14,15,140,150,0.9538743512081611,0.9553925399056212,0.30473300171320106,-0.7550743854644445,-0.601533113368542
15,16,150,160,0.9616023094753204,0.9617124554250228,0.2756221719236204,-0.601533113368542,-0.5265269655852984
16,17,160,170,0.933630059325343,0.9336460116068103,0.3612113487518828,-0.5265269655852984,-0.8190906100331916
17,18,170,180,0.9643253025649239,0.9643735219193672,0.2855405766892419,-0.8190906100331916,-0.3338400502928174
18,19,180,190,0.9661001084924108,0.9669029651061473,0.25817251528051344,-0.3338400502928174,-0.5650880398160689
19,20,190,200,0.9690987814897024,0.9691722589025062,0.24914536377666854,-0.5650880398160689,-0.9044917102321016
20,21,200,210,0.9352281684603668,0.9353504207185982,0.3551544101453202,-0.9044917102321016,-0.8302893657549344
21,22,210,220,0.9382475886771607,0.9391317210651194,0.34871597780350005,-0.8302893657549344,-0.9575614780162339
22,23,220,230,0.9404555124180162,0.9413833636508242,0.3423945464949767,-0.9575614780162339,-0.8998443862366096
23,24,230,240,0.9262541790495386,0.9268331105989552,0.390880694893666,-0.8998443862366096,-0.6142085491332736
24,25,240,250,0.956431801939819,0.9568726916920762,0.29532785761737684,-0.6142085491332736,-0.6051973094426524
25,26,250,260,0.9580434854682996,0.958856559783573,0.28663744388650986,-0.6051973094426524,-0.9300519280704259
26,27,260,270,0.9416929086458761,0.9426275647274625,0.36210834414325827,-0.9300519280704259,-0.9277154184587375
27,28,270,280,0.9371732649947171,0.9388529149567165,0.35297005151869126,-0.9277154184587375,-0.9248887666406655
28,29,280,290,0.9488204333064415,0.9490692781828576,0.3193721001140486,-0.9248887666406655,-0.9385333175788491
29,30,290,300,0.9538775652228682,0.9539896653478905,0.30111400588078063,-0.9385333175788491,-0.9709277754471266
30,31,300,310,0.9353322590219355,0.9354052943718352,0.35881490685649625,-0.9709277754471266,-0.641422395312734
31,32,310,320,0.9596978383215368,0.9599840861853628,0.2899597936112208,-0.641422395312734,-0.6397672083040602
32,33,320,330,0.938037167491215,0.9386727998531731,0.35044208608399746,-0.6397672083040602,-0.7622027579418651
33,34,330,340,0.9498257162876276,0.9496576518468742,0.31301964964451484,-0.7622027579418651,-0.8409317523974242
34,35,340,350,0.935723514766998,0.935578910871747,0.36375045927754973,-0.8409317523974242,-0.9756123666000072
35,36,350,360,0.9470767373346974,0.9475364661479111,0.3466905718030893,-0.9756123666000072,-0.9124079473321062
36,37,360,370,0.9626369490755021,0.9621214608269046,0.27113111359885494,-0.9124079473321062,-0.982752734842686
37,38,370,380,0.9705623663183001,0.970889740186734,0.24199354571208018,-0.982752734842686,-0.8187964839944049
38,39,380,390,0.9486729753423079,0.9483993558397632,0.3182116262482733,-0.8187964839944049,-0.9406694651538929
39,40,390,400,0.9676320452872385,0.9680407564093009,0.26131512959266634,-0.9406694651538929,-0.6452454422995064
40,41,400,410,0.9664121441533396,0.965267447618467,0.2579869507947692,-0.6452454422995064,-0.8702714351408796
41,42,410,420,0.9559172363455188,0.954601611783095,0.29578848302354105,-0.8702714351408796,-0.7536593729678609
42,43,420,430,0.9447041755385929,0.945832352424242,0.32896519535437063,-0.7536593729678609,-0.9145483283272524
43,44,430,440,0.9514622769401033,0.9528281899217602,0.31378525613823716,-0.9145483283272524,-0.5858180069029943
44,45,440,450,0.9661872382504629,0.9646589873039246,0.2671932604331479,-0.5858180069029943,-0.5917248110547546
45,46,450,460,0.9479349132876803,0.9460396470626748,0.31860774357777255,-0.5917248110547546,-0.7167864486371807
46,47,460,470,0.9536999353443057,0.9525469408882504,0.3069170942493589,-0.7167864486371807,-0.7297200414726532
47,48,470,480,0.9708127072798544,0.9703999041758904,0.246095250239745,-0.7297200414726532,-0.7533706289970659
48,49,480,490,0.9518887889111535,0.951112867725562,0.3073527778673861,-0.7533706289970659,-0.821363935932494
49,50,490,500,0.9421396674189635,0.9412711408288315,0.3401036916309867,-0.821363935932494,-0.8399818956864724
