snapshot,sweep,output,hidden_norm,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67
0,0,-0.708628425440313,4.098526467637333,-1.0,-1.0,-0.32246228601530635,0.5839084582622529,-0.3866630982543373,0.7071645094069221,0.35092841267551944,-0.02326338050172594,0.27088672475378517,-0.8409729191158135,-0.9283061566714863,-0.14820108591201908,0.5527326532995651,-0.27988199795709656,0.6955440128088952,0.035150833712752405,0.6597516484237582,0.30792293712612384,-0.026672490188258013,0.4158418770956209,-0.09820224330566774,0.3075121016150115,-0.569247456323728,-0.9389815693778307,0.01089023488697416,-0.4752723976695685,-0.5113159501789839,-0.9204067767293382,-0.3727244750070402,-0.47011184596088373,0.047939678405716,0.005715536517731712,-0.08089824008133228,-0.09004655756781599,0.9902646955516039,-0.08985535525551702,-0.7769130501113115,-0.47708225115274683,0.17292498440662007,-0.49653148148487003,-0.10364336748989622,-0.28727779986563196,-0.151429991616703,-0.6752335662365476,0.8880398474003528,-0.7616826847032496,-0.11642436510599796,0.4537774665154488,0.36892868735071627,0.18056640347741215,-0.07510617562992983,0.7791806167379405,-0.8591328184830955,0.7224371352056205,-0.07685941835180699,-0.6166045600194274,0.764245733729878,-0.12164798628978812,0.875320123033037,-0.07761052590737805,0.21627892767133017,-0.23623654723732868,0.5463838479944876,0.44997979032980906,-0.8025989742365518,0.1347452326192875,-0.708628425440313
1,10,-0.6251209746233868,5.48401975778497,-1.0,-1.0,0.900440835636435,-0.38983462984820855,-0.2360762627750297,0.8264754637531295,0.3785964635885451,0.9348236999448466,0.836444761921777,0.5544692168624764,-0.43805863397677486,-0.806763801767103,-0.8012132979907961,0.9690387065667893,0.5189470086654548,0.34240867379736645,0.622912372187431,-0.5292268000146945,-0.47379769798632054,0.8211611776239315,-0.5711602391068272,-0.6446045668413887,-0.8346108430263507,-0.9727198768100189,0.9032369055247572,0.636720529487633,-0.9559262149512466,-0.1083796963650801,-0.2773900482558725,-0.9773676706055943,0.24852097978711965,-0.5839880750396336,-0.17392403678595258,0.17200327492074552,0.024363857155278917,0.28916324633292034,-0.1451588229354341,-0.9265774755905752,0.9540575078342324,-0.8991441986830915,0.12328540057847265,-0.07699049121649418,-0.8531854153568008,-0.7583180549292869,0.9248701051188472,-0.9970374242280471,0.7835374879121701,0.045250475780547944,-0.7677872618552173,-0.7708307855356538,0.9853341362383478,0.584063833135515,-0.8005201304013303,0.8049138831000274,-0.6016792726386428,-0.8135982516105322,0.8455071680985844,-0.7939694008821463,0.8539871596771763,0.7895839923676811,-0.045739898479751934,-0.8910795690599311,0.8395426519319726,0.06407166597652059,-0.6325059894855138,-0.24850286297086566,-0.6251209746233868
2,20,-0.9020918388085897,5.703512946366335,-1.0,-1.0,0.741940299388399,-0.2760979222450016,-0.4170451564057067,0.6874098536282699,-0.409370113141307,0.8191591227249697,0.8591032670536237,0.9321064455848971,-0.7000214625786734,-0.28958929507555975,-0.9208280843293339,0.9365459680041399,0.7403922182200603,0.0975419458031904,0.8447314885467123,-0.5441413971401692,0.0727525068420965,0.8352970226028152,-0.36228937019969987,-0.5987941927927564,-0.9668286203098888,-0.41237818908435486,0.745136457722903,0.9991366842404542,-0.769495301939324,0.7696881838973781,-0.6572835938774897,-0.7322381418125333,0.8898257531459458,-0.9178651886038649,-0.3231796968693741,0.5828936778010215,-0.2832315205653162,-0.384164153521996,0.4970030502627118,-0.9284034953730691,0.9588377018205662,-0.7601723878953406,-0.5934398743970442,0.07502395190795057,-0.8559301628048073,-0.866076099662075,0.8553029540999402,-0.7322950002483479,0.9439106582361951,-0.14183404184419532,-0.9200510786983642,-0.9654731275078996,0.5106412797933539,0.7213414767596235,0.7827266435379707,0.9868894586809945,-0.7397735960801126,-0.907265793187241,0.5609127539892729,-0.8519418933191764,0.7965436356013642,0.8250033819893003,-0.2416522249797643,-0.7068309288755614,0.9636812663456454,-0.04733437409609689,-0.7085688346072236,-0.3822743765652324,-0.9020918388085897
3,30,-0.9729849994251873,6.068877910880383,-1.0,-1.0,0.9097717035301236,-0.9555958827868851,-0.945826056009836,0.7440271479508218,-0.5313126761097926,0.9361117158355619,0.8861713352059293,0.8523679034057263,-0.8438747268531259,-0.18630523437752866,-0.9056705939393004,0.8755264344159137,0.8628274470027777,0.25416163850737095,0.7925653097609628,-0.5890811233289917,0.5933523116304827,0.8612986279969073,-0.05816893100525328,-0.5185295143316192,-0.7381459182807674,-0.7081687074955537,0.8091758903173969,0.4831979842255729,-0.9726451887291967,-0.06495518763838576,-0.8590620944721321,-0.3923807426282141,0.8957591299045239,-0.8402269961688011,-0.8087058048828387,0.8221600098069164,0.5786771074169761,-0.7718778324181375,0.9480943699188487,-0.8200082747230968,0.8017745167252942,-0.8604700135462761,-0.4431681948676788,0.029565590713485315,-0.8432863943605041,-0.8449485273033912,0.977968053763451,-0.7027290467357704,0.9907741548067062,-0.03233055588466194,-0.839819026410523,-0.9381777237887059,0.9337551408789455,0.6270229596993047,0.9109725686030274,0.6393388567572883,-0.9116088322664433,-0.8662843490128609,0.9624628136307738,-0.9845640595657463,0.8239680059320473,0.7029444123118117,-0.5573765149896923,-0.8939306960301997,0.6335041069752165,0.5071393654882909,0.28591612470713407,-0.5854599950796795,-0.9729849994251873
4,40,-0.9405989295679018,6.256330162292834,-1.0,-1.0,0.13659414557981714,-0.9119514522410626,-0.8162640957952845,0.9996843528099416,-0.9230845615134275,0.9019093785715384,0.8311210060239076,0.9218200138305256,-0.9790941118037184,-0.738443269731607,-0.9737469376968844,0.6976817589131472,0.9309038926546664,-0.2862257644006486,0.8789469464859421,-0.7897951800576016,0.45617211549988823,0.8953432044210476,0.6764139993219037,-0.4697470145350687,-0.4782798542311535,-0.7877758275459804,0.7551099644680296,0.9581408818114685,-0.5609704261295856,0.31401344783918367,-0.8893111728911773,-0.4848788288589667,0.9684135275054313,-0.947301193001683,-0.6540451354053245,0.9686558213716512,0.6877157883147277,-0.7447119477727956,0.5934989925526151,-0.9319058542445404,0.6339593612724964,-0.9033046433122456,-0.6805092675359253,-0.6808730829771685,-0.8805307988964802,-0.40486110880629345,0.8695072001236159,-0.9261589385783148,0.9003777596376064,0.02835234535614814,-0.9765567045596791,-0.7616768774072105,0.7565907489243804,0.41779843520103577,0.9479569798690965,0.8799623382020063,-0.8729968348122926,-0.8568104906344969,0.9295199256809925,-0.9383845616815831,0.8875150382472388,0.6673487111617943,-0.7030905828027045,-0.8141696490515018,0.8325154796505143,0.8251472905915128,0.8544067420209878,-0.1542843465152834,-0.9405989295679018
5,50,-0.9185473855295387,6.440287823037872,-1.0,-1.0,0.14360112741542988,-0.6712711084804748,-0.8955510677756116,0.8998011849550738,-0.2634154486827347,0.5830007249535409,0.9075140628789209,0.8096828801708088,-0.8968577282882016,-0.9037756484240056,-0.7239421699832826,0.9850243360931721,0.9048569383867822,-0.7709552063004215,0.6900805121772415,-0.8832721906810939,0.7779840731282495,0.974218255898065,0.07810157184243408,-0.9266040552137988,-0.04737106747965678,0.3609661396093008,0.9229804969543798,0.8500438577259031,-0.7631895856542297,0.9700977919398075,-0.8695606443376747,-0.9758400835818222,0.8519688572724808,-0.9212102220359821,-0.8310417469090599,0.89299712198498,0.827195324806295,-0.8327725713956964,0.9903380024153209,-0.9537544064459311,0.7160742781863734,-0.8829241313438936,-0.17711274732206458,-0.8600861989057337,-0.9324243493770649,-0.6851627725417488,0.978981611016362,-0.7322989146354086,0.7636163335080166,0.0477190214985494,-0.7814435452829089,-0.9760627215776321,0.9937247680705834,0.47193129360130326,0.9649515003562698,0.8666069363235991,-0.764459073739596,-0.8873709897274042,0.9629626185056273,-0.7501601250443011,0.7237250791698658,0.743677253246898,-0.8083630656400451,-0.9557645161708699,0.8949689655857727,0.9434266826226708,0.7994099944866547,-0.5083563351154715,-0.9185473855295387
6,60,-0.6375515574256143,6.337513420183712,-1.0,-1.0,0.990757870135182,-0.7839280395099726,-0.7378339894188186,0.9626295477702804,-0.3719764898659948,0.8726759483036197,0.7843331025973486,0.9426852116543479,-0.8328461073572712,-0.8727197715309939,-0.9859917984167534,0.7615063722495163,0.8515810109186307,-0.9000690373196468,0.966131526617547,-0.8762795321078436,0.814012146823055,0.6675893970946409,-0.5496988652437179,-0.8945241373597828,-0.6738141116830083,0.5994893671834786,0.8643066987853287,0.970591576512355,-0.6131956093118367,0.8246123108091705,-0.9299885951685964,-0.6060080834307429,0.8014848857763444,-0.9538609311748107,-0.8571349633886685,0.8950977913718509,0.9110164321126626,-0.6642734988718795,0.8829236112328931,-0.9396025929004184,0.7533682141057344,-0.743218520686141,0.10998036086983723,-0.8452839315488113,-0.6854310805207982,-0.9567633260197255,0.74728677133487,-0.7770571943530218,0.7525117378386383,-0.08101104599957538,-0.7335661579991326,-0.9422450330151948,0.8863257009104197,0.4536379588340127,0.7720429527106294,0.7027996154623474,-0.8431236031905076,-0.9592527150281078,0.8705009334350293,-0.8825828215047973,0.8537887362926453,0.7104198505278886,-0.6857638776819829,-0.6919655345177256,0.8524433845692792,0.043579918349376634,0.9233325498415335,-0.14317258689520151,-0.6375515574256143
7,70,-0.9046921722882394,6.333122430286288,-1.0,-1.0,0.6247668667443906,-0.9585837176883518,-0.936001781841967,0.7099258244697105,-0.5431869292436328,0.883799328915905,0.8125813989633865,0.8476228153625334,-0.6030361929008956,-0.7880174880056825,-0.9013399368965699,0.9851409546482106,0.8478770790729038,-0.7051021511167823,0.9373675817007705,-0.9634446430953343,0.6130231400449582,0.9997901418816975,-0.8981031740347514,-0.7546210737858016,-0.9053307590420698,0.959095308277004,0.8525522844205224,0.8094003159477845,-0.8321227479021944,0.7696967431828294,-0.5798256420162731,-0.2817135202213553,0.48821828810554513,-0.6380203932988939,-0.8250439652848434,0.7682809012418491,0.547572826929113,-0.8854059414730804,0.9610475993380714,-0.9683874042340741,0.8018060696561378,-0.9332020033006745,0.49289722242254025,-0.9111992940669582,-0.6394992487154034,-0.7222347427652495,0.7910321327977737,-0.7562121860501216,0.6704903108612328,-0.24546089547591848,-0.9487493840034393,-0.8932805831879418,0.6002383753403251,-0.107242048076325,0.875991987611135,0.8608422225383876,-0.9050662546254968,-0.8495351088451786,0.9604336699242442,-0.9524919100096353,0.8827556119198245,0.5425276918108642,-0.5433559804713801,-0.9910605745898194,0.9501549939047731,0.7769256119920344,0.8396343275851983,-0.051841926065086336,-0.9046921722882394
8,80,-0.9378989435836846,6.249345297641356,-1.0,-1.0,0.9219023464907794,-0.2391895508195156,-0.7849604646519319,0.8151222748055587,-0.8103432071575885,0.9614554812254987,0.8628505320983546,0.8576593818070792,-0.39520523594332857,-0.7552438039563876,-0.7191232226353363,0.5221748679047058,0.6891581846262944,-0.9257299051839182,0.24384698696536306,-0.9680830393986043,0.8216950979665691,0.9759901290531737,-0.6912210553854994,-0.846136654983061,-0.8542561428331572,0.9927608711582145,0.6355680404454674,0.3792252027524864,-0.9375151043964417,0.13866800847200653,-0.6951299688291686,-0.6770883657342674,0.815516502189082,-0.8651590403763744,-0.9118229378093039,0.9307736673458836,0.7776600311666001,-0.7229271516647371,0.9477909042874986,-0.8436161182990496,0.9555010488621425,-0.7625121746385148,0.8684445038962321,-0.7828505198535557,-0.9282225847446324,-0.9023183400031698,0.8856552930772272,-0.7012715712603983,0.9923759566651259,0.30817173117652724,-0.8840142313221855,-0.8391464214476966,0.8978183152196286,-0.14850663700201705,0.5628196323457575,0.9198584800308836,-0.9420049802441032,-0.2982245662308593,0.9958760549489232,-0.7107331087069243,0.8937094508247028,0.7685139691015584,-0.3784333566129622,-0.48805652183244863,0.9309939437821039,0.8707617157239305,0.7029873858221154,0.6741279267301117,-0.9378989435836846
9,90,-0.6394256929430249,6.214775889522017,-1.0,-1.0,0.8218124655482929,-0.41031412719056365,-0.8234369884700747,0.732584143394079,-0.7401246395012001,0.8844586487105595,0.8392072886891437,0.9069244007143942,-0.6147133509268896,-0.9212248752185834,-0.8482132797252678,0.7132055583612972,0.9625617777710556,-0.693003733691193,0.12223108337107326,-0.8796440763757247,0.9662219386661224,0.7423196940134913,-0.7810789550158291,-0.32907494032099915,-0.5097568185716533,0.837236571348242,0.6717390539436059,-0.11831508934865839,-0.9646686397307551,-0.31200635492769824,-0.7717131625550158,-0.9302944948642673,0.8623394930251432,-0.9342437692932362,-0.5879935370583207,0.6439879621761401,0.8463155630704424,-0.9410163877446789,0.9895291573110452,-0.7530419800829127,0.8828943572368249,-0.8386289586615074,0.7098673155645538,-0.9155948499492617,-0.8318939152179484,-0.3882083056195275,0.8126423494418848,-0.8268296530715447,0.8924536157216747,0.4511524296797028,-0.9639449466610337,-0.6653471964695519,0.6900534044612812,0.29612654504814906,0.9045906371803494,0.9758139972180573,-0.9095482772984497,-0.889185840284369,0.94118009880538,-0.9765399387240254,0.7441570040819151,0.5496548667330775,-0.031240938499892172,-0.8397454107623569,0.8048348212405286,0.41325979520367523,0.9284198486159401,0.9985678014478954,-0.6394256929430249
