config,side,hidden_side,code_side,code_stride,relaxation,nudged_relaxation,temp,stepsize,best_epoch,best_mse,best_accuracy,best_min_margin,final_mse,final_accuracy,graph
inlaid8_T0p001_eta0p03_r250,8,8,4,2,250,250,0.001,0.03,150,0.9998826258564073,0.5,0.0011928743279582934,0.9998826258564073,0.5,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/langevin_checkerboard_xor/runs/langevin_checkerboard_sweep_20260510_114742/inlaid8_T0p001_eta0p03_r250/inlaid8_T0p001_eta0p03_r250_best_graph.jld2
inlaid8_T0p001_eta0p03_r1000,8,8,4,2,1000,1000,0.001,0.03,1,0.9980461079123076,0.5,0.0012540049200885435,0.9985059046771725,0.5,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/langevin_checkerboard_xor/runs/langevin_checkerboard_sweep_20260510_114742/inlaid8_T0p001_eta0p03_r1000/inlaid8_T0p001_eta0p03_r1000_best_graph.jld2
inlaid8_T0p001_eta0p08_r250,8,8,4,2,250,250,0.001,0.08,1,0.9999604273211002,0.5,2.1855085766381776e-5,1.0004517824211836,0.5,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/langevin_checkerboard_xor/runs/langevin_checkerboard_sweep_20260510_114742/inlaid8_T0p001_eta0p08_r250/inlaid8_T0p001_eta0p08_r250_best_graph.jld2
inlaid8_T0p001_eta0p08_r1000,8,8,4,2,1000,1000,0.001,0.08,1,0.9909677009047464,0.5,0.006611573343597204,1.0063679546297877,0.5,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/langevin_checkerboard_xor/runs/langevin_checkerboard_sweep_20260510_114742/inlaid8_T0p001_eta0p08_r1000/inlaid8_T0p001_eta0p08_r1000_best_graph.jld2
inlaid8_T0p005_eta0p03_r250,8,8,4,2,250,250,0.005,0.03,150,0.9999499926775886,0.5,2.3496939497906683e-5,0.9999499926775886,0.5,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/langevin_checkerboard_xor/runs/langevin_checkerboard_sweep_20260510_114742/inlaid8_T0p005_eta0p03_r250/inlaid8_T0p005_eta0p03_r250_best_graph.jld2
inlaid8_T0p005_eta0p03_r1000,8,8,4,2,1000,1000,0.005,0.03,1,0.9971328587963096,0.5,0.0020526737927131196,0.9974364979753263,0.5,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/langevin_checkerboard_xor/runs/langevin_checkerboard_sweep_20260510_114742/inlaid8_T0p005_eta0p03_r1000/inlaid8_T0p005_eta0p03_r1000_best_graph.jld2
inlaid8_T0p005_eta0p08_r250,8,8,4,2,250,250,0.005,0.08,1,1.0000778188813237,0.5,0.00027485623765543675,1.000996047054385,0.25,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/langevin_checkerboard_xor/runs/langevin_checkerboard_sweep_20260510_114742/inlaid8_T0p005_eta0p08_r250/inlaid8_T0p005_eta0p08_r250_best_graph.jld2
inlaid8_T0p005_eta0p08_r1000,8,8,4,2,1000,1000,0.005,0.08,1,0.9888042444598615,0.5,0.005710315843494213,0.997193124268063,0.75,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/langevin_checkerboard_xor/runs/langevin_checkerboard_sweep_20260510_114742/inlaid8_T0p005_eta0p08_r1000/inlaid8_T0p005_eta0p08_r1000_best_graph.jld2
inlaid8_T0p02_eta0p03_r250,8,8,4,2,250,250,0.02,0.03,1,1.000065263129133,0.5,0.0005721829267062758,1.0001431118330395,0.5,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/langevin_checkerboard_xor/runs/langevin_checkerboard_sweep_20260510_114742/inlaid8_T0p02_eta0p03_r250/inlaid8_T0p02_eta0p03_r250_best_graph.jld2
inlaid8_T0p02_eta0p03_r1000,8,8,4,2,1000,1000,0.02,0.03,1,0.9955365840578092,0.5,0.0040406995989389904,0.9958242441144214,0.5,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/langevin_checkerboard_xor/runs/langevin_checkerboard_sweep_20260510_114742/inlaid8_T0p02_eta0p03_r1000/inlaid8_T0p02_eta0p03_r1000_best_graph.jld2
inlaid8_T0p02_eta0p08_r250,8,8,4,2,250,250,0.02,0.08,1,1.0002820751769452,0.5,0.0008125445588481744,1.0006866436851156,0.5,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/langevin_checkerboard_xor/runs/langevin_checkerboard_sweep_20260510_114742/inlaid8_T0p02_eta0p08_r250/inlaid8_T0p02_eta0p08_r250_best_graph.jld2
inlaid8_T0p02_eta0p08_r1000,8,8,4,2,1000,1000,0.02,0.08,1,0.9854976740389271,0.5,0.01285998847840189,0.9978257946079818,0.5,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/langevin_checkerboard_xor/runs/langevin_checkerboard_sweep_20260510_114742/inlaid8_T0p02_eta0p08_r1000/inlaid8_T0p02_eta0p08_r1000_best_graph.jld2
