phase,seconds,compile_time,recompile_time,gctime,bytes
include simple experiment,9.267042791,1.426506087,0.517759956,0.3563135,685587064
simple graph construction,1.653345625,1.647980416,0.026426707,0.085690208,365840368
simple layer construction,0.045549708,0.044353583,0.0,0.0,1890928
simple init_simple_trainer,33.700689625,33.636079513,0.542803749,0.225107584,4072928528
simple simple_dataset,1.1792e-5,0.0,0.0,0.0,256
simple gradient_buffer,9.792e-6,0.0,0.0,0.0,800
simple eval: evaluate_simple!,9.824674041,9.823468166,0.0,0.159638458,633562528
simple train1: zero buffers,1.1083e-5,0.0,0.0,0.0,0
simple train1: worker loop,69.021750084,87.034981875,0.0,0.477587875,2422351376
simple train1: optimizer/broadcast,0.304488042,0.304029207,0.0,0.0,122631296
simple train2: zero buffers,1.958e-6,0.0,0.0,0.0,0
simple train2: worker loop,0.000474959,0.0,0.0,0.0,228672
simple train2: optimizer/broadcast,3.5292e-5,0.0,0.0,0.0,6864
