config,epoch,score_10,response_norm,score_11,std_11,mse,grad_norm,score_00,std_01,std_00,min_margin,score_01,accuracy,std_10,param_delta
metro_T0015_J012_flipgrad,0,0.1875,0.0,-0.3125,0.6020797289396148,0.791015625,0.0,-0.625,0.7187952884282608,0.695221787153807,0.1875,-0.375,0.75,0.8341662504161466,0.0
metro_T0015_J012_flipgrad,1,-0.09375,0.18789528136357367,-0.5,0.7302967433402214,1.051025390625,1.1692679333668567,-0.4375,0.7274384280931732,0.8139410298049853,0.09375,-0.5625,0.5,0.8003905296791061,0.036742342469327956
metro_T0015_J012_flipgrad,100,0.25,0.0,-0.5,0.8944271909999159,0.81640625,0.0,-0.25,0.9574271077563381,1.0,0.25,-0.375,0.75,1.0,0.6257418779702836
metro_T0015_J012_flipgrad,200,-0.25,0.0,-0.625,0.806225774829855,1.0078125,0.0,-0.125,1.0,1.02469507659596,0.125,-0.25,0.5,1.0,0.6278326920988784
metro_T0015_J012_flipgrad,300,0.25,0.0,-0.125,1.02469507659596,0.9453125,0.0,-0.25,0.9574271077563381,1.0,0.125,-0.375,0.75,1.0,0.6278327709395051
metro_T0015_J012_flipgrad,400,0.125,0.0,-0.25,1.0,0.72265625,0.0,-0.25,1.0327955589886444,1.0,0.0,0.0,0.75,1.02469507659596,0.6278327709421166
metro_T0015_J012_flipgrad,500,0.375,0.0,-0.125,1.02469507659596,0.6796875,0.0,-0.25,1.0327955589886444,1.0,0.0,0.0,0.75,0.9574271077563381,0.6278327709421166
metro_T0015_J012_flipgrad,600,0.125,0.0,-0.375,0.9574271077563381,0.6796875,0.0,-0.25,1.0327955589886444,1.0,0.0,0.0,0.75,1.02469507659596,0.6278327709421166
metro_T0015_J012_flipgrad,700,-0.125,0.0,-0.5,0.8944271909999159,0.88671875,0.0,-0.125,1.02469507659596,1.02469507659596,0.125,-0.125,0.5,1.02469507659596,0.6278327709421166
metro_T0015_J012_flipgrad,800,0.0,0.0,-0.375,0.9574271077563381,1.0703125,0.0,0.0,0.9574271077563381,1.0327955589886444,0.0,-0.375,0.5,1.0327955589886444,0.6278327709421166
metro_T0015_J012_flipgrad,900,0.125,0.0,-0.625,0.806225774829855,0.640625,0.0,-0.375,1.02469507659596,0.9574271077563381,0.125,-0.125,0.75,1.02469507659596,0.6278327709421166
metro_T0015_J012_flipgrad,1000,-0.25,0.0,-0.25,1.0,1.03125,0.0,0.0,1.0327955589886444,1.0327955589886444,0.0,0.0,0.5,1.0,0.6278327709421166
metro_T0015_J012_flipgrad,1100,0.0,0.0,-0.25,1.0,0.8046875,0.0,-0.375,1.02469507659596,0.9574271077563381,0.0,-0.125,0.5,1.0327955589886444,0.6278327709421166
metro_T0015_J012_flipgrad,1200,-0.25,0.0,-0.375,0.9574271077563381,1.2109375,0.0,0.0,0.9574271077563381,1.0327955589886444,0.0,-0.375,0.5,1.0,0.6278327709421166
metro_T0015_J012_flipgrad,1300,0.125,0.0,-0.25,1.0,0.7734375,0.0,-0.125,1.0327955589886444,1.02469507659596,0.0,0.0,0.75,1.02469507659596,0.6278327709421166
metro_T0015_J012_flipgrad,1400,0.625,0.0,-0.375,0.9574271077563381,0.421875,0.0,-0.375,1.02469507659596,0.9574271077563381,0.125,0.125,1.0,0.806225774829855,0.6278327709421166
metro_T0015_J012_flipgrad,1500,0.125,0.0,0.375,0.9574271077563381,0.99609375,0.0,-0.25,1.02469507659596,1.0,0.125,0.125,0.75,1.02469507659596,0.6278327709421166
metro_T0015_J012_flipgrad,1600,0.0,0.0,-0.25,1.0,0.97265625,0.0,-0.125,1.0,1.02469507659596,0.0,-0.25,0.5,1.0327955589886444,0.6278327709421166
metro_T0015_J012_flipgrad,1700,0.75,0.0,-0.375,0.9574271077563381,0.6953125,0.0,-0.125,1.0,1.02469507659596,0.125,-0.25,0.75,0.6831300510639732,0.6278327709421166
metro_T0015_J012_flipgrad,1800,-0.125,0.0,-0.375,0.9574271077563381,0.6953125,0.0,-0.25,1.0,1.0,0.125,0.25,0.75,1.02469507659596,0.6278327709421166
metro_T0015_J012_flipgrad,1900,0.125,0.0,-0.375,0.9574271077563381,0.6796875,0.0,-0.25,1.0327955589886444,1.0,0.0,0.0,0.75,1.02469507659596,0.6278327709421166
metro_T0015_J012_flipgrad,2000,-0.25,0.0,-0.5,0.8944271909999159,1.17578125,0.0,0.0,0.9574271077563381,1.0327955589886444,0.0,-0.375,0.5,1.0,0.6278327709421166
metro_T0015_J012_flipgrad,2100,0.375,0.0,-0.25,1.0,0.74609375,0.0,-0.125,1.02469507659596,1.02469507659596,0.125,-0.125,0.75,0.9574271077563381,0.6278327709421166
metro_T0015_J012_flipgrad,2200,0.125,0.0,-0.375,0.9574271077563381,0.703125,0.0,-0.375,1.02469507659596,0.9574271077563381,0.125,-0.125,0.75,1.02469507659596,0.6278327709421166
metro_T0015_J012_flipgrad,2300,0.125,0.0,-0.75,0.6831300510639732,1.01953125,0.0,0.0,0.8944271909999159,1.0327955589886444,0.0,-0.5,0.75,1.02469507659596,0.6278327709421166
metro_T0015_J012_flipgrad,2400,-0.25,0.0,-0.375,0.9574271077563381,1.19140625,0.0,-0.25,0.8944271909999159,1.0,0.25,-0.5,0.5,1.0,0.6278327709421166
metro_T0015_J012_flipgrad,2500,0.5,0.0,-0.5,0.8944271909999159,0.47265625,0.0,-0.375,1.0327955589886444,0.9574271077563381,0.0,0.0,0.75,0.8944271909999159,0.6278327709421166
