timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-20T03:35:55,0,0.0,missing,missing,missing,0.086,42.784,106-207-21-239-56-48-181-30-99-13,0.086,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:36:31,1,27.0112998,0.574,6.813,901,0.649,5.588,159-91-26-151-90-186-51-115-106-25,0.649,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:37:01,2,21.3049715,0.745,4.061,1406,0.649,5.636,103-79-53-95-50-342-65-58-79-76,0.649,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:37:29,3,20.1315482,0.802,3.146,1546,0.743,4.044,108-99-175-106-70-99-66-63-31-183,0.743,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:37:56,4,19.1723269,0.847,2.409,1663,0.827,2.754,105-91-152-99-82-115-68-75-101-112,0.827,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:38:24,5,19.0250711,0.858,2.212,1683,0.829,2.69,116-119-97-92-117-86-102-67-80-124,0.829,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:38:50,6,18.5619771,0.884,1.829,1735,0.828,2.66,108-99-149-96-56-93-108-66-92-133,0.829,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:39:17,7,18.6075998,0.8825,1.901,1731,0.82,3.016,98-107-103-81-68-136-100-78-57-172,0.829,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:39:44,8,18.2217263,0.898,1.622,1777,0.795,3.34,97-86-98-141-81-141-92-46-53-165,0.829,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:40:10,9,18.2245049,0.899,1.633,1772,0.849,2.354,114-105-112-56-97-131-83-98-97-107,0.849,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:40:36,10,17.864526,0.9175,1.341,1816,0.806,2.972,124-109-102-40-104-158-114-84-61-104,0.849,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:41:02,11,17.7493418,0.925,1.167,1832,0.817,3.086,101-107-90-124-90-134-87-152-76-39,0.849,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:41:28,12,17.6193771,0.931,1.115,1846,0.848,2.41,106-104-132-99-96-103-78-105-55-122,0.849,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:41:53,13,17.4974867,0.9385,0.986,1861,0.867,2.078,108-102-80-102-98-80-123-87-99-121,0.867,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:42:19,14,17.3380882,0.948,0.856,1879,0.862,2.156,108-110-80-76-89-110-114-122-107-84,0.867,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,
2026-05-20T03:42:44,15,17.3678291,0.9445,0.878,1877,0.869,2.138,101-112-90-95-73-90-119-85-94-141,0.869,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\best_model.bin,ext/IsingLearning/experiments/mnist_manager/runs/20260520_paper_like_200pc_r10_s100_e15_lrhalf\final_model.bin
