timestamp,epoch,seconds,train_accuracy,train_loss,skipped,test_accuracy,test_loss,pred_counts,best_accuracy,best_path,final_path
2026-05-22T03:34:56,0,0.0,missing,missing,missing,0.078,39.908,49-147-28-108-24-83-8-32-4-17,0.078,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_traininternal_200pc\best_model.bin,
2026-05-22T03:35:39,1,38.7510787,0.344,10.723,535,0.556,6.732,65-56-70-41-42-74-10-85-0-57,0.556,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_traininternal_200pc\best_model.bin,
2026-05-22T03:36:13,2,29.6359428,0.571,6.825,1093,0.31,11.168,22-3-18-20-8-24-16-355-31-3,0.556,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_traininternal_200pc\best_model.bin,
2026-05-22T03:36:43,3,26.0513608,0.6745,5.254,1320,0.618,6.336,45-52-73-37-140-52-22-42-16-21,0.618,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_traininternal_200pc\best_model.bin,
2026-05-22T03:37:12,4,25.095258,0.7205,4.498,1417,0.704,4.872,56-49-44-31-52-101-74-65-12-16,0.704,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_traininternal_200pc\best_model.bin,
2026-05-22T03:37:40,5,23.8002033,0.7555,3.897,1490,0.758,4.108,64-62-47-15-50-78-45-61-24-54,0.758,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_traininternal_200pc\best_model.bin,
2026-05-22T03:38:07,6,23.095217,0.776,3.599,1535,0.714,4.612,55-36-47-36-42-91-13-45-73-62,0.758,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_traininternal_200pc\best_model.bin,
2026-05-22T03:38:34,7,22.5493284,0.791,3.316,1573,0.708,4.872,55-51-23-111-29-35-57-85-30-24,0.758,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_traininternal_200pc\best_model.bin,
2026-05-22T03:38:59,8,21.6306187,0.8275,2.831,1642,0.746,4.192,50-61-89-48-38-78-22-24-49-41,0.758,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_traininternal_200pc\best_model.bin,
2026-05-22T03:39:25,9,21.4409803,0.8245,2.799,1644,0.744,3.996,52-52-91-41-53-38-46-26-60-41,0.758,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_traininternal_200pc\best_model.bin,
2026-05-22T03:39:50,10,21.1865878,0.8355,2.672,1662,0.62,6.252,32-15-93-35-43-25-29-43-31-154,0.758,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_traininternal_200pc\best_model.bin,ext/IsingLearning/experiments/mnist_manager/runs/20260522_local_paper_h28_h11_traininternal_200pc\final_model.bin
