accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4
0.25,0,0.0,0.04679036024349417,-0.312315709431036,-0.49397096398279927,-0.04679036024349417,0.05341631945291042,1.2275787312768638,0.7449498620651506,0.5058499919389908,0.7119410605676979,0.6256228127503835
0.25,1,0.1820729421883541,0.02823185373324421,-0.2939658344788653,-0.49142666277923525,-0.02823185373324421,0.0491851477072103,1.220221988133259,0.7354966873039793,0.4844200240437446,0.6940585572447874,0.6509904217130136
0.75,100,0.19392607246697763,0.06736018977998529,-0.40000014696095065,0.06736018977998529,0.3192198226336415,0.24343411977744825,0.8098517248439485,0.8678887345784889,0.9668763667984392,0.8438638537569872,0.8511628620490469
0.75,200,0.19240471582055227,0.003502295257952412,-0.44022556315745176,0.15419234785991395,0.41944613862729613,0.003502295257952412,0.593199411775963,0.8338769798090125,0.96022407280326,0.8599159987631921,0.9904646802199596
1.0,300,0.16823518852237226,0.030449006001413953,-0.4046560118057769,0.24347957660187033,0.21753479309972706,-0.030449006001413953,0.6197596363176554,0.7953101199209667,0.9534210765493311,0.9514218432645931,0.9832212335007571
1.0,400,0.1746361955397105,0.028850388910655167,-0.39899508182879356,0.21239702723606937,0.3363643387158818,-0.028850388910655167,0.5912673031048885,0.78617704668976,0.9323669584592471,0.8952246278056819,0.9776630308446116
1.0,500,0.17087119149188226,0.05180376620682359,-0.3494003501942248,0.21628108512439956,0.3124837192582574,-0.05180376620682359,0.6023124939814272,0.7798248668940582,0.9236694767131831,0.8849066694831936,0.9569398771170551
1.0,600,0.15515624992369426,0.06569883694327247,-0.3247818517028972,0.21413587417596183,0.30254462722045317,-0.06569883694327247,0.6082161580887896,0.7355836782828371,0.885202781041313,0.859804786038136,0.9527154446373552
0.75,700,0.1367840879803206,0.2438652920024676,-0.2576212324827786,0.27669495693409957,0.38882800232947884,0.2438652920024676,0.7487571237924782,0.7138792557267041,0.8464808736303319,0.7884417005046193,0.7346249573745283
1.0,800,0.13284094201951943,0.07810148020269339,-0.32332720809899607,0.30806632788613464,0.5076702996529642,-0.07810148020269339,0.5072359221380862,0.7083188921830268,0.8412350372227014,0.7058538752914836,0.8019009738550678
0.75,900,0.11480192484413784,0.020939803573202312,-0.2887826480993695,0.3658518733239077,0.47672267852251254,0.020939803573202312,0.5560278014760214,0.7178780568434036,0.7858380881653648,0.7136450704864187,0.7901174481332766
0.75,1000,0.13872468563118015,0.08698503449383871,-0.2311419686410071,0.46248281099683375,0.48904252257602215,0.08698503449383871,0.5806703524520345,0.6915801647842088,0.6913149895351617,0.7139318628381691,0.7839796957000418
