accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,response_norm,route,std_1,std_2,std_3,std_4
0.5,0,0.0,0.3515575764167869,-0.7715310796452057,-0.44510865284369816,0.3515575764167869,0.6105312585351418,1.2887063943782677,0.0,normal,0.15627308477117932,0.5588207970540842,0.4274509772401534,0.3236931761681453
0.5,1,1.0265193682663956,0.6058685830094591,-0.7559975945195642,-0.7090250995907288,0.6058685830094591,0.684397424643704,1.4932095557291634,0.8409344427311436,normal,0.1021444399821586,0.23061256705817426,0.27920099053166836,0.271372105256939
0.75,200,0.6100333619008826,0.6344264892947354,-0.7613399372738443,0.6344264892947354,0.7370970896873323,0.8105676173130056,0.8844689135957975,0.5573359509161538,normal,0.18977265042995062,0.526940012434147,0.16981890125499904,0.1317940591299954
0.75,400,0.36123591463638993,0.6719605445841212,-0.6719605445841212,0.8338074787606666,0.7387083066048736,0.7534595131287072,0.819530862911072,0.47748398824692073,normal,0.396474265637169,0.13757419511555583,0.18095119679877256,0.13383259995557176
0.75,600,0.37352662474229203,0.28213647179838536,-0.3069832639170041,0.28213647179838536,0.5228688941440157,0.6017935880623287,0.9472492581365359,0.6177504649761778,normal,0.6889280362136987,0.65585359840399,0.4213688473397775,0.19373964375931646
0.75,800,0.40601840729200694,0.18605158983093686,-0.46208527158433665,0.2915879813400666,0.18605158983093686,0.45192142118430173,0.8904469177347316,0.5686833964186307,normal,0.5942492837387202,0.575943795451751,0.47397404500512447,0.34969096352634377
0.75,1000,0.5064950438266358,0.14738763546888883,-0.14738763546888883,0.20510402560949456,0.1582137898542004,0.4375736697341812,1.033507383439548,0.5335771298129035,normal,0.6560160843125185,0.43159949240697965,0.487913161432262,0.2598656172485339
0.75,1200,0.8695160471816149,0.1163072566219891,-0.21951959448113895,0.4445285067178475,0.1163072566219891,0.4265243921435562,0.933395737331872,0.5775671828172043,normal,0.5212030306049535,0.33036223475906784,0.43241791330937845,0.3237727285264901
0.5,0,0.0,0.39261524071584486,-0.6725688961920084,-0.5582839163774884,0.39261524071584486,0.7460305599155721,1.48824971343786,0.0,split,0.2447036719900777,0.39118923386246285,0.44531847426290594,0.1806049719616153
0.5,1,1.4905716488700238,0.48633607241289745,-0.7400584393178495,-0.5566531805270695,0.48633607241289745,0.5606125189681253,1.2975252010697897,0.8905825894166557,split,0.16574914363485488,0.4491319262009258,0.4515472255874935,0.3621063167313078
0.75,200,0.4969202209289322,0.5597471405686884,-0.7371325758346253,0.5597471405686884,0.607629634212123,0.7186347232739476,0.842645419729054,0.8590420221896268,split,0.3182022731877521,0.5123971652966237,0.42334841504066534,0.20584104349410604
0.75,400,0.38078387980401257,0.23944741987908347,-0.7771283559161586,0.23944741987908347,0.8103623961544102,0.7823737491323631,0.9602326498134175,0.8402103733822844,split,0.256709239582588,0.6819221385717922,0.166320237651501,0.17883585323211393
0.75,600,0.4537517442116487,0.5218167654504937,-0.7759539977863404,0.5218167654504937,0.7372981186515637,0.7728356534734008,0.8727035874006548,0.8142085224789894,split,0.1310122933239365,0.5478525309149322,0.18114744706005861,0.18259420106638455
0.75,800,0.5029124989225388,0.7416536796455909,-0.8488555451865012,0.7416536796455909,0.7864395340102324,0.7698970913568104,0.8169328135221493,0.7149461770594752,split,0.12470268373817565,0.4653859320774457,0.16345621531533264,0.17544035372152658
0.75,1000,0.5826172953580573,0.6388023623266865,-0.7875668534844722,0.6388023623266865,0.679772184106786,0.8256328213753241,0.9027681569384586,0.7572810830136024,split,0.16706949022413442,0.4423924692323685,0.35349911554999797,0.15742599721410672
0.75,1200,0.32350056735953897,0.2298531502446496,-0.8290835825579479,0.8145684078600255,0.2298531502446496,0.7242188200343601,0.9074135016658907,0.7901228641955887,split,0.11530903982277371,0.18052162459972582,0.6839013135308243,0.20540632698187747
