accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,response_norm,route,std_1,std_2,std_3,std_4
0.5,0,0.0,0.18389871832039692,-0.6656917764382216,-0.3970446798188308,0.18389871832039692,0.524550316588632,1.26344269888018,0.0,normal,0.31068995300553715,0.45623401102469574,0.598935784701224,0.31902787334931526
0.5,1,0.4152303231041878,0.27307408235793523,-0.6868821424969965,-0.39263287964375154,0.27307408235793523,0.4653162959079073,1.1782605667362867,0.6055302418780941,normal,0.2678947526623818,0.5306332131734642,0.5467326361311059,0.49127977852147636
0.5,300,0.5149800871176904,0.3724074867898093,-0.6966433565901863,-0.4008959215170809,0.5205680252392374,0.3724074867898093,1.0419729910609463,0.6286043711335308,normal,0.2542579972479558,0.40762687693160815,0.43695479703347095,0.5429968940392589
0.5,600,0.5281668478941931,0.09469854355199682,-0.5408516207859438,-0.09469854355199682,0.6357970448330528,0.46716065370768556,0.9235965779325147,0.6479655266356719,normal,0.4057187112070331,0.7607147500739736,0.3245053169011781,0.4852652278655345
0.75,900,0.48327071749594974,0.5564374935112595,-0.6844249045609955,0.5564374935112595,0.7202868345128045,0.691615632618008,0.8090345603721002,0.5055196514096498,normal,0.16845416232516255,0.4378763522179604,0.16834963132257844,0.23724232567342837
0.75,1200,0.48943786291077906,0.6543537233812446,-0.6749549131247637,0.6543537233812446,0.7999343372175095,0.7802157562556994,0.858580016321947,0.5642145585249783,normal,0.2901851286811302,0.26586468190178636,0.15275241751409696,0.19366218433977933
0.75,1500,0.28522509057254125,0.6666433603659593,-0.7345981098372274,0.6891360850517779,0.7667564921751099,0.6666433603659593,0.7497942903783262,0.3429449317319685,normal,0.19676878568824974,0.21217679638881545,0.14009354108615057,0.23689532406649133
0.75,1800,0.3106443443832728,0.7057601504526062,-0.7244061459110136,0.7602387923257211,0.8007118669714584,0.7057601504526062,0.7706927149887873,0.3125810379623149,normal,0.22435103290690328,0.164402349538356,0.10515328353063526,0.22787434674345675
0.75,2100,0.25513846520473127,0.7304515919595121,-0.7600892829097207,0.7477792285786901,0.7304515919595121,0.754048775469371,0.8176289801784734,0.22869368415565547,normal,0.2277022929728499,0.15991878868581746,0.19624060722454287,0.17886368321434964
0.75,2400,0.2553744206908309,0.7040154705167904,-0.7505818901479705,0.7040154705167904,0.7461651125834764,0.7378214866428087,0.8085679761806841,0.21345996662221123,normal,0.20120876896378617,0.17228146610724573,0.12971540978835874,0.1541239897050441
0.75,2700,0.23694725814571554,0.6956176447017196,-0.6956176447017196,0.743959060131123,0.6973016996750733,0.7677261089272042,0.843671859577095,0.27851468591954476,normal,0.20194317873984557,0.15332160018426144,0.1851805223211825,0.17086730135865952
0.75,3000,0.2525268445264099,0.65338742884835,-0.7344144982189008,0.7060384409611903,0.65338742884835,0.7267326630107905,0.8146737552343848,0.32457245826385245,normal,0.19745393611435805,0.17672737819116005,0.2857136007330805,0.23005833490881444
0.5,0,0.0,0.3531273179915628,-0.5502401981224283,-0.6213821642766261,0.3531273179915628,0.5226598247846731,1.3920253026903473,0.0,split,0.35242205583268194,0.36169648489527284,0.611598841182363,0.43047510655322546
