accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,response_norm,route,std_1,std_2,std_3,std_4
0.5,0,0.0,0.3500884383498227,-0.8693541403200673,-0.7427431548583301,0.6455178699565186,0.3500884383498227,1.2506546040857751,0.0,normal,0.35880971165704023,0.5509486410087336,0.6935535860772857,0.8494452045960742
0.5,1,0.2691928558677313,0.2804375573920175,-0.8786487065067221,-0.7024403750055647,0.6697154232724563,0.2804375573920175,1.165409401721427,0.5025740708369347,normal,0.34756760331606884,0.540345840905019,0.6632534481059872,0.8810471666389306
0.75,100,0.0337828858175471,0.7265604785531976,-0.7770143615129842,0.7265604785531976,0.8470076546347028,0.9550819033911532,0.9925609183921169,0.23111512471521453,normal,0.5174645262205922,0.5233169045560326,0.4505108336833462,0.031957893182632126
0.75,200,0.026889173837447804,0.6736030115047735,-0.9216315267469348,0.6736030115047735,0.8049867075911161,0.9453061217567069,0.9837306758147606,0.21199849534131296,normal,0.20643026800050143,0.6575732183915918,0.4883667563841925,0.042318365968153845
0.75,300,0.027250714737648563,0.8875616771937922,-0.8911891737142947,0.8875616771937922,0.8958844167814872,0.9526668614483425,0.9620575247049755,0.24522744007134945,normal,0.3313033570410963,0.259361007450934,0.32132079555985393,0.0373511139068225
0.75,400,0.04244096884051989,0.8756630458736082,-0.9529717900918123,0.8756630458736082,0.8900358339050004,0.9487292894517796,0.9568273230202009,0.24724860549940283,normal,0.0318709239954186,0.2875062306495915,0.31921262594996513,0.03524602252306826
0.75,500,0.013933932819187433,0.8131410476068147,-0.8974895828547288,0.8131410476068147,0.8325833612823443,0.9585582552041456,0.9773508559151504,0.2024587572672204,normal,0.2543149703757851,0.43340776351731697,0.46092255050526,0.03987346386433621
0.75,600,0.04518387563920414,0.8348407012666378,-0.8946156002725667,0.8614862080082506,0.8348407012666378,0.9415198031416503,0.9567671705567834,0.2062231237728952,normal,0.2766118281206561,0.2787316285897091,0.45231818307054655,0.03929503573447797
0.75,700,0.032133401631737724,0.6971814150395956,-0.9447941844627539,0.6971814150395956,0.8925643899219573,0.9555833449356445,0.9826488516922697,0.22853870159185324,normal,0.03807763931225522,0.6275808850400453,0.30281047715836773,0.030200915956818102
0.75,800,0.02457776116234191,0.7907275920980011,-0.9502330395362842,0.7907275920980011,0.8771229985082938,0.9556457285463982,0.9714801660350657,0.21962240325042362,normal,0.05164205292221523,0.44617658891504997,0.3050968687612627,0.042448953478657576
0.75,900,0.02527057397041478,0.7302986688870136,-0.96278050945989,0.7302986688870136,0.7779737629191672,0.9527680306467234,0.9841806824870847,0.20059294868479605,normal,0.02626902280325414,0.46174051593768534,0.5673946826778948,0.04226100279967552
0.75,1000,0.03260053745858366,0.7827421919667199,-0.9453534192213762,0.7827421919667199,0.949423759284117,0.9478791405145255,0.9617445765296945,0.21187699811566557,normal,0.04182429355224572,0.4903419573417526,0.036913718654234436,0.036364789188123234
0.75,1100,0.020891038315832878,0.7843753848223649,-0.9471588990899584,0.8856739945334497,0.7843753848223649,0.9463003317383333,0.962610393366643,0.2023065799280571,normal,0.03647667624034341,0.2730027028136188,0.5379315887746396,0.04167207057010779
0.75,1200,0.06265136781126854,0.7703755523960489,-0.9294461820338473,0.9071665512740579,0.7703755523960489,0.930702593737405,0.9484839457084292,0.25638308743305516,normal,0.03985569798854586,0.238070410775763,0.564442549534835,0.04270104287777411
