accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,response_norm,std_1,std_2,std_3,std_4
0.5,0,0.0,0.5495780003904209,-0.8503077486103675,-0.7579016775108666,0.594033882293519,0.5495780003904209,1.4196566364853158,0.0,0.21164366945424062,0.463398867321944,0.6354970451920344,0.6787314053874974
0.5,1,0.35866178564614815,0.3695632014734671,-0.8500796956462744,-0.8234398478258301,0.3916497368449422,0.3695632014734671,1.39830059545192,0.5038817914800862,0.2371001957792738,0.35277400847750157,0.7777248224758885,0.7709827577234978
0.75,100,0.09344461876643154,0.046985727755230376,-0.29704611774695233,0.046985727755230376,0.20120616154594526,0.8117564940086478,1.3307283884028824,0.7342321831521247,0.7873863319376397,0.8948425614968458,0.8123498684924696,0.011849146332422239
0.75,200,0.0626816875124948,0.1561514013007556,-0.2801038478490829,0.1561514013007556,0.363172672854733,0.7412836330269131,1.1669871656636912,0.5933516213546914,0.716553775378122,0.8360468475186407,0.6644933358462733,0.01326728795741452
0.75,300,0.07957921168484777,0.1589944292503246,-0.23823401666318017,0.1589944292503246,0.4418127079180356,0.7249473595462226,1.1436485574120951,0.48993898328705665,0.7461811432723784,0.8037914377900118,0.5786763585651131,0.016328858788939818
0.75,400,0.06793285562649669,0.1586550195799744,-0.6749734881094225,0.1586550195799744,0.2525348265886747,0.7245272914561304,1.0865505434873923,0.5920774008979016,0.09363291105135474,0.8138182654624071,0.6935381942487612,0.017850010607809625
0.75,500,0.09686136601720213,0.3175743987119522,-0.7256076098116845,0.3312852661694073,0.3175743987119522,0.7282093368235296,0.9937206980531887,0.43826163323762746,0.021570455997638686,0.8078248859122038,0.6714309510882818,0.01679931573420591
0.75,600,0.05591905032823326,0.3559640702656138,-0.7295255369584859,0.3559640702656138,0.5711400658894419,0.7362425761374282,0.9215994600560191,0.45894485664574447,0.016476900308433868,0.7748459129966366,0.40908344017524295,0.018735574714312295
0.75,700,0.07180314797269867,0.2635899884539105,-0.7226927556761376,0.2635899884539105,0.5669595835168553,0.7412474233212692,0.9596664010976652,0.43334646094644336,0.01819389447859081,0.7919632182226147,0.40280423328832754,0.01846562388503001
0.75,800,0.07709813039813562,0.067065051407542,-0.7128729512851831,0.067065051407542,0.6236161519981229,0.7582003491432417,1.0464357072932526,0.4322050180810941,0.015557433646965423,0.8179225101988674,0.25650378765503945,0.015981263239021645
0.75,900,0.06647854265102224,0.1810428819279302,-0.6918413670935353,0.1810428819279302,0.6930257367830646,0.6962754997823859,0.9343090684288137,0.4342021418805351,0.018498164333796117,0.8050443935941076,0.013060253951027643,0.1441960727282116
0.5,1000,0.10726484240112993,0.0967262277686147,-0.683656709734527,-0.0967262277686147,0.6987975755958288,0.20930120583061626,0.7140034507154734,0.4217268874128104,0.019957962719527517,0.7778477568114411,0.01975562249033244,0.6086678644269247
0.75,1100,0.07398056295158364,0.06154880934159331,-0.6499434247741108,-0.06154880934159331,0.6998237522907415,-0.0738327142775293,0.5493292753261929,0.38006184930099807,0.01850196973561218,0.744546329420284,0.018460589808100412,0.7911443878772156
