epoch,mse,accuracy,margin
1,1.005632,0.75,0.033893
100,1.010095,0.75,0.02768
200,1.011017,0.75,0.026928
300,1.009493,0.75,0.027945
400,1.009441,0.75,0.029828
500,1.00922,0.75,0.034356
600,1.011135,0.75,0.028867
700,1.008954,0.75,0.026739
800,1.001677,0.75,0.032871
900,1.004447,0.75,0.034909
1000,1.005922,0.75,0.030219
1100,1.006219,0.75,0.02726
1200,1.006642,0.75,0.027385
1300,1.005261,0.75,0.026917
1400,1.012796,0.75,0.022252
1500,1.007742,0.75,0.022743
1600,1.004739,0.75,0.025421
1700,1.003967,0.75,0.027
1800,1.010214,0.75,0.019931
1900,1.008256,0.75,0.021025
2000,1.008693,0.75,0.019251
2100,1.00658,0.75,0.02294
2200,1.008025,0.75,0.020414
2300,1.005691,0.75,0.018177
2400,1.007245,0.75,0.016832
2500,1.003623,0.75,0.027082
2600,1.001754,0.75,0.029317
2700,1.003807,0.75,0.0289
2800,1.004903,0.75,0.031238
2900,1.004339,0.75,0.034216
3000,1.005496,0.75,0.035048
3100,1.002856,0.75,0.03632
3200,1.005063,0.75,0.038432
3300,1.007491,0.75,0.034041
3400,1.006733,0.75,0.03264
3500,1.003762,0.75,0.037436
3600,1.010175,0.75,0.030293
3700,1.010284,0.75,0.027893
3800,1.011307,0.75,0.027686
3900,1.008455,0.75,0.031506
4000,1.008184,0.75,0.035685
4100,1.006545,0.75,0.039979
4200,1.005318,0.75,0.039639
4300,1.001864,0.75,0.046011
4400,1.00023,0.75,0.044623
4500,0.999308,0.75,0.042733
4600,1.002659,0.75,0.039522
4700,1.006531,0.75,0.039266
4800,1.003999,0.75,0.03967
4900,1.006214,0.75,0.036466
5000,1.005832,0.75,0.034009
5100,1.007639,0.75,0.032483
5200,1.003367,0.75,0.038043
5300,1.003042,0.75,0.036898
5400,1.007782,0.75,0.0339
5500,1.004759,0.75,0.037732
5600,1.008546,0.75,0.036727
5700,1.00302,0.75,0.038396
5800,1.000833,0.75,0.03892
5900,0.999964,0.75,0.040096
6000,0.998227,0.75,0.04021
6100,1.002343,0.75,0.03798
6200,1.008778,0.75,0.034534
6300,1.010975,0.75,0.02894
6400,1.008501,0.75,0.033645
6500,1.010483,0.75,0.033166
6600,1.011401,0.75,0.031657
6700,1.01427,0.75,0.033228
6800,1.013592,0.75,0.03184
6900,1.012133,0.75,0.031185
7000,1.015246,0.75,0.02705
7100,1.016787,0.75,0.024339
7200,1.016092,0.75,0.024495
7300,1.015167,0.75,0.022761
7400,1.009682,0.75,0.030174
7500,1.012499,0.75,0.02401
7600,1.009916,0.75,0.023336
7700,1.008092,0.75,0.026136
7800,1.005861,0.75,0.026957
7900,1.00346,0.75,0.028216
8000,1.004507,0.75,0.026546
8100,1.003143,0.75,0.028213
8200,1.004914,0.75,0.030697
8300,1.002829,0.75,0.032884
8400,1.001281,0.75,0.031897
8500,1.000742,0.75,0.028956
8600,1.003196,0.75,0.028139
8700,1.003379,0.75,0.024766
8800,0.999958,0.75,0.02979
8900,1.003321,0.75,0.029426
9000,0.998617,0.75,0.031272
9100,1.000281,0.75,0.030306
9200,0.996176,0.75,0.028482
9300,0.996555,0.75,0.030841
9400,0.996268,0.75,0.031102
9500,0.993383,0.75,0.030644
9600,0.994834,0.75,0.031577
9700,0.996766,0.75,0.027171
9800,0.99767,0.75,0.027843
9900,0.994753,0.75,0.028545
10000,0.99901,0.75,0.023387
