Running bespoke XOR search with 1 config(s)
config 1/1: (hidden = (16,), out = 4, output_code = :orthogonal, target_mode = :readout_hterm, readout_target = 1.0, lp = 0.0, dw = 0.0, bias = 0.1, skip = 0.0, weight_norm = 0.2, lr = 0.01, beta = 0.05, relaxation = 3000, dynamics = :block, block_size = 8, adjusted = false, stepsize = 0.05, state = :continuous, weight_seed = 2, bias_seed = 11, minit = 5, init_mode = :random)
  epoch=1 mse=1.012199 acc=0.5 margin=0.001262 grad=10.596622 delta=4.468888 weight_rms=0.2
  epoch=200 mse=0.998893 acc=0.75 margin=0.005256 grad=2.173709 delta=4.679205 weight_rms=0.2
  epoch=400 mse=1.007403 acc=0.75 margin=0.000155 grad=2.400774 delta=4.86783 weight_rms=0.2
  epoch=600 mse=0.763338 acc=0.75 margin=0.000701 grad=1.723795 delta=4.962533 weight_rms=0.2
  epoch=800 mse=1.00089 acc=0.5 margin=0.001633 grad=2.176117 delta=5.130552 weight_rms=0.2
  epoch=1000 mse=1.004174 acc=0.5 margin=0.00033 grad=2.305989 delta=5.164346 weight_rms=0.2
  epoch=1200 mse=0.587747 acc=0.75 margin=0.010421 grad=2.271348 delta=5.276683 weight_rms=0.2
  epoch=1400 mse=0.489733 acc=1.0 margin=0.000834 grad=2.197952 delta=5.429984 weight_rms=0.2
  epoch=1600 mse=0.462558 acc=1.0 margin=0.007695 grad=3.963652 delta=5.501655 weight_rms=0.2
  epoch=1800 mse=0.735689 acc=1.0 margin=0.006571 grad=1.765974 delta=5.50616 weight_rms=0.2
  epoch=2000 mse=0.46152 acc=1.0 margin=0.031039 grad=1.575278 delta=5.623629 weight_rms=0.2
  epoch=2200 mse=0.446912 acc=1.0 margin=0.052412 grad=1.825753 delta=5.654004 weight_rms=0.2
  epoch=2400 mse=0.70213 acc=1.0 margin=0.00939 grad=1.587308 delta=5.68435 weight_rms=0.2
  epoch=2600 mse=0.703714 acc=1.0 margin=0.006937 grad=2.566285 delta=5.73959 weight_rms=0.2
  epoch=2800 mse=0.710741 acc=0.75 margin=0.006672 grad=1.826898 delta=5.826643 weight_rms=0.2
  epoch=3000 mse=0.72814 acc=0.75 margin=0.019158 grad=2.406848 delta=5.828776 weight_rms=0.2
  epoch=3200 mse=0.716982 acc=1.0 margin=0.003951 grad=1.779656 delta=5.793847 weight_rms=0.2
  epoch=3400 mse=0.716807 acc=1.0 margin=0.007665 grad=1.729241 delta=5.721476 weight_rms=0.2
  epoch=3600 mse=0.728117 acc=1.0 margin=0.009869 grad=1.614084 delta=5.696861 weight_rms=0.2
  epoch=3800 mse=0.717748 acc=1.0 margin=0.015736 grad=1.857923 delta=5.674238 weight_rms=0.2
  epoch=4000 mse=0.727732 acc=1.0 margin=0.008575 grad=2.207008 delta=5.652395 weight_rms=0.2
  epoch=4200 mse=0.738755 acc=0.75 margin=0.000634 grad=1.693253 delta=5.652149 weight_rms=0.2
  epoch=4400 mse=1.006558 acc=0.5 margin=0.001154 grad=1.689248 delta=5.631457 weight_rms=0.2
  epoch=4600 mse=0.746162 acc=0.5 margin=0.009178 grad=1.84816 delta=5.607343 weight_rms=0.2
  epoch=4800 mse=0.750705 acc=0.5 margin=0.006618 grad=2.16011 delta=5.736236 weight_rms=0.2
  epoch=5000 mse=0.742986 acc=0.75 margin=0.001753 grad=1.869849 delta=5.813525 weight_rms=0.2
  epoch=5200 mse=0.740158 acc=0.75 margin=0.000938 grad=2.336225 delta=5.896906 weight_rms=0.2
  epoch=5400 mse=0.754154 acc=0.5 margin=0.005748 grad=1.521651 delta=5.874643 weight_rms=0.2
  epoch=5600 mse=1.449598 acc=0.75 margin=0.002205 grad=2.015824 delta=5.906189 weight_rms=0.2
  epoch=5800 mse=0.744316 acc=0.75 margin=0.003068 grad=1.533479 delta=5.917051 weight_rms=0.2
  epoch=6000 mse=0.739505 acc=1.0 margin=0.004483 grad=1.84463 delta=5.918958 weight_rms=0.2
  epoch=6200 mse=0.732695 acc=0.75 margin=0.00292 grad=1.771998 delta=5.896801 weight_rms=0.2
  epoch=6400 mse=0.48575 acc=1.0 margin=0.005751 grad=1.873247 delta=5.909385 weight_rms=0.2
  epoch=6600 mse=0.474202 acc=1.0 margin=0.021811 grad=1.881861 delta=6.02842 weight_rms=0.2
  epoch=6800 mse=1.04653 acc=0.5 margin=0.024609 grad=1.894698 delta=6.062674 weight_rms=0.2
  epoch=7000 mse=0.716881 acc=0.75 margin=0.002293 grad=1.768347 delta=6.045312 weight_rms=0.2
  epoch=7200 mse=0.9982 acc=0.75 margin=0.008104 grad=1.486234 delta=5.960111 weight_rms=0.2
  epoch=7400 mse=0.998554 acc=0.5 margin=0.00195 grad=1.603293 delta=6.015604 weight_rms=0.2
  epoch=7600 mse=0.734138 acc=0.75 margin=0.005741 grad=1.621449 delta=5.979937 weight_rms=0.2
  epoch=7800 mse=0.741902 acc=0.5 margin=0.004691 grad=1.67362 delta=5.996481 weight_rms=0.2
  epoch=8000 mse=0.727434 acc=0.75 margin=0.000117 grad=1.344099 delta=6.009487 weight_rms=0.2
  epoch=8200 mse=0.718209 acc=1.0 margin=0.010411 grad=1.630743 delta=6.056711 weight_rms=0.2
  epoch=8400 mse=0.752788 acc=0.5 margin=0.018692 grad=1.956723 delta=6.132156 weight_rms=0.2
  epoch=8600 mse=1.453689 acc=0.5 margin=0.040418 grad=2.030611 delta=6.224105 weight_rms=0.2
  epoch=8800 mse=1.458137 acc=0.75 margin=0.00504 grad=1.600218 delta=6.181492 weight_rms=0.2
  epoch=9000 mse=1.457479 acc=0.75 margin=0.000303 grad=1.529272 delta=6.257342 weight_rms=0.2
  epoch=9200 mse=1.426614 acc=0.5 margin=0.004291 grad=1.478888 delta=6.248317 weight_rms=0.2
  epoch=9400 mse=1.447349 acc=0.25 margin=0.007105 grad=1.349014 delta=6.274524 weight_rms=0.2
  epoch=9600 mse=1.444355 acc=0.5 margin=0.010145 grad=1.322487 delta=6.34482 weight_rms=0.2
  epoch=9800 mse=1.181731 acc=0.5 margin=0.019717 grad=1.859507 delta=6.503279 weight_rms=0.2
  epoch=10000 mse=1.146478 acc=0.75 margin=0.015549 grad=1.638298 delta=6.717535 weight_rms=0.2
  epoch=10200 mse=1.133062 acc=0.75 margin=0.048436 grad=1.818684 delta=6.944571 weight_rms=0.2
  epoch=10400 mse=1.155508 acc=0.75 margin=0.033494 grad=1.692542 delta=7.082491 weight_rms=0.2
  epoch=10600 mse=1.436039 acc=0.5 margin=0.050371 grad=1.776387 delta=7.013424 weight_rms=0.2
  epoch=10800 mse=1.434315 acc=0.5 margin=0.037663 grad=1.330534 delta=7.098231 weight_rms=0.2
  epoch=11000 mse=1.395359 acc=0.5 margin=0.014669 grad=1.745506 delta=7.115411 weight_rms=0.2
  epoch=11200 mse=1.44717 acc=0.5 margin=0.031933 grad=1.257393 delta=7.150702 weight_rms=0.2
  epoch=11400 mse=1.436946 acc=0.5 margin=0.057081 grad=1.6379 delta=7.278979 weight_rms=0.2
  epoch=11600 mse=1.130621 acc=0.75 margin=0.063988 grad=1.593834 delta=7.434811 weight_rms=0.2
  epoch=11800 mse=1.35492 acc=0.5 margin=0.343222 grad=1.667814 delta=7.306377 weight_rms=0.2
  epoch=12000 mse=1.148556 acc=0.75 margin=0.041788 grad=1.400458 delta=7.121713 weight_rms=0.2
  epoch=12200 mse=1.163406 acc=0.75 margin=0.063324 grad=1.272039 delta=7.141712 weight_rms=0.2
  epoch=12400 mse=1.121686 acc=0.75 margin=0.049761 grad=1.841093 delta=7.284042 weight_rms=0.2
