fullsweeps,meanabs,frac_09,frac_099,frac_mid,dH_rms,residual_rms,energy,readout_abs,acceptance_rate
0,0.487785693919,0.08125,0.01875,0.5,0.569613907546,0.442675742701,-0.727150046786,0.382675490817,0
100,0.528103799688,0.2125,0.09375,0.46875,0.587052939076,0.39114130381,-2.95992851988,0.391437250294,0
200,0.530155037899,0.225,0.09375,0.46875,0.588876514912,0.391074331268,-3.02367255958,0.392370205652,0
300,0.531185783015,0.225,0.1,0.4625,0.590172109779,0.391130675448,-3.06008154271,0.390100250572,0
400,0.531889048246,0.225,0.1,0.4625,0.590636165784,0.391226954796,-3.08072660509,0.390835396366,0
500,0.532499480529,0.225,0.1,0.4625,0.590827295399,0.390637572741,-3.09620896431,0.39260117286,0
600,0.533055639155,0.225,0.1,0.4625,0.591006806721,0.39007472404,-3.11040473441,0.394226675694,0
700,0.533630943793,0.225,0.1,0.4625,0.591234895172,0.389471266129,-3.12602700623,0.395866430881,0
800,0.533630943793,0.225,0.1,0.4625,0.591234895172,0.389471266129,-3.12602700623,0.395866430881,0
900,0.533630943793,0.225,0.1,0.4625,0.591234895172,0.389471266129,-3.12602700623,0.395866430881,0
1000,0.533630943793,0.225,0.1,0.4625,0.591234895172,0.389471266129,-3.12602700623,0.395866430881,0
1100,0.533630943793,0.225,0.1,0.4625,0.591234895172,0.389471266129,-3.12602700623,0.395866430881,0
1200,0.535279676648,0.225,0.1,0.4625,0.591632932741,0.387906352894,-3.15628533531,0.398894513172,0
1300,0.53773487332,0.225,0.1,0.45,0.5920756713,0.385091163199,-3.18732688244,0.402423849792,0
1400,0.53773487332,0.225,0.1,0.45,0.5920756713,0.385091163199,-3.18732688244,0.402423849792,0
1500,0.53773487332,0.225,0.1,0.45,0.5920756713,0.385091163199,-3.18732688244,0.402423849792,0
1600,0.53773487332,0.225,0.1,0.45,0.5920756713,0.385091163199,-3.18732688244,0.402423849792,0
1700,0.53773487332,0.225,0.1,0.45,0.5920756713,0.385091163199,-3.18732688244,0.402423849792,0
1800,0.539085915531,0.225,0.1,0.45,0.592344239455,0.383641632463,-3.20403922958,0.404150112172,0
1900,0.540327665111,0.225,0.1,0.45,0.592611188796,0.382340901026,-3.21999449427,0.405856206561,0
2000,0.540327665111,0.225,0.1,0.45,0.592611188796,0.382340901026,-3.21999449427,0.405856206561,0
