config,step,q,residual_rms,residual_max,dH_rms,meanabs,frac_09,step_delta,energy,readout_abs,stepsize,temperature
constant_no_anneal,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.05,0.0001
constant_no_anneal,500,0.95740911672,0.0447097079467,0.141185050671,0.891773691227,0.928181822131,0.875,0.939572981863,-10.364084799,0.497695390052,0.05,0.0001
constant_no_anneal,1000,0.973478955894,0.0272530912931,0.068258885801,0.909552428863,0.956071482362,0.95,0.135115530522,-10.4569486726,0.499151080577,0.05,0.0001
constant_no_anneal,1500,0.971433700034,0.0294244558573,0.0731506756373,0.910798081816,0.950047516698,0.9625,0.0466827820846,-10.4156680826,0.494590665573,0.05,0.0001
constant_no_anneal,2000,0.973994604438,0.0267310653305,0.0634700076427,0.917102810526,0.957497665265,0.9625,0.0494703356168,-10.4792400211,0.495041048085,0.05,0.0001
constant_no_anneal,2500,0.973312549493,0.0274558196499,0.0634038770688,0.91960472649,0.965166307902,0.9625,0.0431826900126,-10.4649631676,0.500260953182,0.05,0.0001
constant_no_anneal,3000,0.972696620179,0.0280742716778,0.067728968028,0.923205506279,0.970754166906,0.9625,0.0369776077918,-10.4501511228,0.500481271001,0.05,0.0001
constant_no_anneal,3500,0.975322748034,0.0253129233885,0.0708964371989,0.928783740852,0.978727856458,0.975,0.0279045346537,-10.5265709969,0.498998953717,0.05,0.0001
constant_no_anneal,4000,0.971076080545,0.0297889691851,0.0791522967478,0.924708202514,0.973925445049,0.9875,0.0250724405804,-10.4181085193,0.498867918541,0.05,0.0001
constant_no_anneal,4500,0.971395624254,0.0294596176888,0.0782077165387,0.926364623309,0.975346100415,0.9875,0.0190036250257,-10.4359504801,0.489883138568,0.05,0.0001
constant_no_anneal,5000,0.976078966568,0.0245089218991,0.0531991278671,0.927462464949,0.977519193977,0.9875,0.0217304628911,-10.5061580976,0.495068751638,0.05,0.0001
scheduled_no_anneal,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.08,0.0001
