Running bespoke XOR search with 1 config(s)
config 1/1: (hidden = (16,), out = 4, output_code = :orthogonal, target_mode = :readout_hterm, readout_target = 1.0, lp = 0.0, dw = 0.0, bias = 0.1, skip = 0.0, weight_norm = 0.2, lr = 0.01, beta = 0.1, relaxation = 100, dynamics = :block, block_size = 8, adjusted = true, stepsize = 0.001, state = :continuous, weight_seed = 2, bias_seed = 11, minit = 5)
  epoch=1 mse=1.006819 acc=0.75 margin=0.034766 grad=0.916481 delta=4.467742 weight_rms=0.2
  epoch=100 mse=1.003065 acc=0.75 margin=0.03873 grad=0.777432 delta=4.598891 weight_rms=0.2
  epoch=200 mse=1.005286 acc=0.75 margin=0.037241 grad=0.803126 delta=4.699128 weight_rms=0.2
  epoch=300 mse=1.00215 acc=0.75 margin=0.041671 grad=0.888963 delta=4.701173 weight_rms=0.2
  epoch=400 mse=1.007591 acc=0.75 margin=0.03431 grad=0.83627 delta=4.774281 weight_rms=0.2
  epoch=500 mse=1.011824 acc=0.75 margin=0.027656 grad=0.875761 delta=4.880745 weight_rms=0.2
  epoch=600 mse=1.018458 acc=0.75 margin=0.022404 grad=0.708361 delta=4.960779 weight_rms=0.2
  epoch=700 mse=1.018722 acc=0.75 margin=0.021857 grad=0.782881 delta=4.99003 weight_rms=0.2
  epoch=800 mse=1.023855 acc=0.75 margin=0.015517 grad=0.71818 delta=5.083742 weight_rms=0.2
  epoch=900 mse=1.023985 acc=0.75 margin=0.010087 grad=0.754664 delta=5.152699 weight_rms=0.2
  epoch=1000 mse=1.016451 acc=0.75 margin=0.016641 grad=0.851314 delta=5.190158 weight_rms=0.2
  epoch=1100 mse=1.017319 acc=0.75 margin=0.016247 grad=0.762406 delta=5.269776 weight_rms=0.2
  epoch=1200 mse=1.021296 acc=0.75 margin=0.010901 grad=0.700914 delta=5.286848 weight_rms=0.2
  epoch=1300 mse=1.023657 acc=0.75 margin=0.009354 grad=0.723639 delta=5.289171 weight_rms=0.2
  epoch=1400 mse=1.024037 acc=0.75 margin=0.010662 grad=0.791156 delta=5.291347 weight_rms=0.2
  epoch=1500 mse=1.024111 acc=0.75 margin=0.013132 grad=0.625438 delta=5.324021 weight_rms=0.2
  epoch=1600 mse=1.02702 acc=0.75 margin=0.010792 grad=0.581273 delta=5.399154 weight_rms=0.2
  epoch=1700 mse=1.02025 acc=0.75 margin=0.018153 grad=0.657628 delta=5.384999 weight_rms=0.2
  epoch=1800 mse=1.021053 acc=0.75 margin=0.017581 grad=0.616658 delta=5.355183 weight_rms=0.2
  epoch=1900 mse=1.017144 acc=0.75 margin=0.019545 grad=0.554983 delta=5.341735 weight_rms=0.2
  epoch=2000 mse=1.013049 acc=0.75 margin=0.020149 grad=0.671849 delta=5.388712 weight_rms=0.2
  epoch=2100 mse=1.014699 acc=0.75 margin=0.019501 grad=0.633269 delta=5.444185 weight_rms=0.2
  epoch=2200 mse=1.014662 acc=0.75 margin=0.024226 grad=0.706514 delta=5.471879 weight_rms=0.2
  epoch=2300 mse=1.01727 acc=0.75 margin=0.025896 grad=0.604773 delta=5.421728 weight_rms=0.2
  epoch=2400 mse=1.01171 acc=0.75 margin=0.03171 grad=0.721863 delta=5.42983 weight_rms=0.2
  epoch=2500 mse=1.012257 acc=0.75 margin=0.03142 grad=0.651404 delta=5.417676 weight_rms=0.2
  epoch=2600 mse=1.014356 acc=0.75 margin=0.031153 grad=0.575169 delta=5.43704 weight_rms=0.2
  epoch=2700 mse=1.010573 acc=0.75 margin=0.034031 grad=0.581302 delta=5.443893 weight_rms=0.2
  epoch=2800 mse=1.0088 acc=0.75 margin=0.036018 grad=0.479986 delta=5.432566 weight_rms=0.2
  epoch=2900 mse=1.007964 acc=0.75 margin=0.036875 grad=0.563929 delta=5.47634 weight_rms=0.2
  epoch=3000 mse=1.008888 acc=0.75 margin=0.031872 grad=0.578098 delta=5.529614 weight_rms=0.2
  epoch=3100 mse=1.008182 acc=0.75 margin=0.034312 grad=0.604518 delta=5.551545 weight_rms=0.2
  epoch=3200 mse=1.003445 acc=0.75 margin=0.032599 grad=0.499125 delta=5.536519 weight_rms=0.2
  epoch=3300 mse=1.00724 acc=0.75 margin=0.029098 grad=0.534728 delta=5.546182 weight_rms=0.2
  epoch=3400 mse=1.010831 acc=0.75 margin=0.021593 grad=0.519986 delta=5.556739 weight_rms=0.2
  epoch=3500 mse=1.011514 acc=0.75 margin=0.019743 grad=0.503945 delta=5.569625 weight_rms=0.2
  epoch=3600 mse=1.005819 acc=0.75 margin=0.02631 grad=0.512602 delta=5.614008 weight_rms=0.2
  epoch=3700 mse=1.009478 acc=0.75 margin=0.031356 grad=0.466039 delta=5.649071 weight_rms=0.2
  epoch=3800 mse=1.009224 acc=0.75 margin=0.029796 grad=0.512338 delta=5.719413 weight_rms=0.2
  epoch=3900 mse=1.009406 acc=0.75 margin=0.030128 grad=0.44801 delta=5.786596 weight_rms=0.2
  epoch=4000 mse=1.009483 acc=0.75 margin=0.029008 grad=0.463731 delta=5.75998 weight_rms=0.2
  epoch=4100 mse=1.015892 acc=0.75 margin=0.020753 grad=0.452481 delta=5.778831 weight_rms=0.2
  epoch=4200 mse=1.015545 acc=0.75 margin=0.019097 grad=0.457073 delta=5.752191 weight_rms=0.2
  epoch=4300 mse=1.017758 acc=0.75 margin=0.011475 grad=0.499958 delta=5.802789 weight_rms=0.2
  epoch=4400 mse=1.019305 acc=0.75 margin=0.013243 grad=0.455158 delta=5.878857 weight_rms=0.2
  epoch=4500 mse=1.021213 acc=0.75 margin=0.012659 grad=0.454963 delta=5.883446 weight_rms=0.2
  epoch=4600 mse=1.021275 acc=0.75 margin=0.012597 grad=0.447664 delta=5.901325 weight_rms=0.2
  epoch=4700 mse=1.019975 acc=0.75 margin=0.016794 grad=0.474749 delta=5.894977 weight_rms=0.2
