epoch,mse,accuracy,margin
1,0.99667,0.5,9e-05
500,0.998359,0.5,0.017063
1000,1.008581,0.25,0.004665
1500,0.757526,0.5,0.009226
2000,0.755147,0.5,0.000907
2500,0.502727,0.75,0.000262
3000,0.748472,0.75,0.003366
3500,0.978673,0.75,0.015404
4000,0.985412,0.75,0.009977
4500,0.992065,0.5,0.01267
5000,0.744902,0.75,0.007376
5500,0.525599,0.5,0.003061
6000,0.494228,1,0.005695
6500,1.00312,0.5,0.001635
7000,1.029671,0,0.002344
7500,1.013789,0.5,0.001772
8000,1.009675,0.5,0.005234
8500,0.733941,0.5,0.002052
9000,0.747993,0.75,0.006262
9500,1.495504,0.5,0.004635
10000,0.751193,0.75,0.002928
10500,0.743687,0.75,0.007072
11000,0.992894,0.5,0.007305
11500,0.489773,0.75,4.4e-05
12000,0.495292,0.75,0.008057
12500,0.748275,0.75,0.003454
13000,0.731649,0.75,0.012471
13500,0.997247,0.25,0.004509
14000,0.9969,0.5,0.000703
14500,0.998525,0.25,0.003547
15000,0.76452,0.25,0.001038
15500,0.751305,0.5,0.002215
16000,1.020639,0.25,0.001216
16500,0.990633,0.5,0.028888
17000,0.720315,1,0.002441
17500,1.479652,0.5,0.028741
18000,2.145355,0.5,0.038668
18500,1.799764,0.5,0.857041
19000,1.136217,0.75,0.049759
19500,1.884534,0.5,0.915304
20000,1.214613,0.5,0.038871
