epoch,mse,accuracy,grad_norm,response_norm,param_delta,ff_out1,ff_out2,ff_std,ft_out1,ft_out2,ft_std,tf_out1,tf_out2,tf_std,tt_out1,tt_out2,tt_std
0,1.1197509765625,0.25,0.0,0.0,0.0,0.15625,0.3125,0.9766621972919028,-0.5,-0.625,0.8309489698388166,0.5,0.1875,0.933290815358078,0.3125,-0.5,0.9161253813129043
1,1.2149658203125,0.25,0.7092035800985877,1.2154962601174857,0.017996575082675104,-0.125,0.21875,0.9917817060124432,-0.28125,-0.5,0.9212547516622737,0.71875,0.15625,0.8608550566567107,0.4375,-0.53125,0.8805098631177388
250,0.6419677734375,0.75,0.7641078904681776,1.0971824566583734,1.2580152609086752,0.9375,-0.84375,0.45589176521110975,-0.875,0.28125,0.7660323462854265,0.90625,0.125,0.7686181168329365,0.8125,-0.625,0.6943650748294136
500,0.00830078125,1.0,0.4675855023302197,0.5916995995338543,3.5092414224216033,0.9375,-0.9375,0.35073618720610084,-0.84375,0.84375,0.5409794175000839,-0.96875,0.96875,0.25,0.9375,-0.9375,0.35073618720610084
750,0.02294921875,1.0,0.4910327681150598,0.542698253297446,4.2047646261595055,0.78125,-0.78125,0.6291528696058958,-0.90625,0.9375,0.390232938168661,-0.96875,0.9375,0.3045618763206198,0.8125,-0.8125,0.5875696513930031
1000,0.00830078125,1.0,0.40380666120957454,0.42793577406044425,4.598676046287421,0.9375,-0.9375,0.35073618720610084,-0.9375,0.9375,0.35073618720610084,-0.96875,0.96875,0.25,0.84375,-0.84375,0.5409794175000839
1250,0.001953125,1.0,0.2687274726994506,0.3651958521834052,4.895450067138232,0.9375,-0.9375,0.35073618720610084,-0.9375,0.9375,0.35073618720610084,-1.0,1.0,0.0,1.0,-1.0,0.0
1500,0.007080078125,1.0,0.28978889274187175,0.3040343959764488,5.1613536399098345,0.875,-0.875,0.4879500364742666,-0.90625,0.90625,0.4260840516231733,-0.9375,0.9375,0.35073618720610084,1.0,-1.0,0.0
1750,0.0059814453125,1.0,0.22092629898992455,0.2812040005328049,5.403718838924305,0.9375,-0.90625,0.390232938168661,-0.875,0.875,0.4879500364742666,-0.96875,0.96875,0.25,0.96875,-0.96875,0.25
2000,0.0037841796875,1.0,0.27413908972958523,0.342867974254745,5.573197891157519,0.96875,-0.96875,0.25,-0.90625,0.9375,0.390232938168661,-0.9375,0.9375,0.35073618720610084,0.9375,-0.9375,0.35073618720610084
2250,0.00244140625,1.0,0.31715662324506605,0.2988126008171617,5.754324451535744,0.9375,-0.9375,0.35073618720610084,-0.9375,0.9375,0.35073618720610084,-0.96875,0.96875,0.25,0.96875,-0.96875,0.25
2500,0.00341796875,1.0,0.2948538436897203,0.25374975224638063,5.963132322168989,0.9375,-0.9375,0.35073618720610084,-0.90625,0.90625,0.4260840516231733,-0.96875,0.96875,0.25,1.0,-1.0,0.0
2750,0.001220703125,1.0,0.3940616864676203,0.25784305941772817,6.14929544007724,0.9375,-0.9375,0.35073618720610084,-0.96875,0.96875,0.25,-1.0,1.0,0.0,1.0,-1.0,0.0
3000,0.000244140625,1.0,0.1288605686898671,0.21252577814894472,6.302885727673022,1.0,-1.0,0.0,-0.96875,0.96875,0.25,-1.0,1.0,0.0,1.0,-1.0,0.0
3250,0.00244140625,1.0,0.18486222556694726,0.19445704611822354,6.407361126883008,0.96875,-0.96875,0.25,-0.90625,0.90625,0.4260840516231733,-1.0,1.0,0.0,1.0,-1.0,0.0
3500,0.000244140625,1.0,0.2742443882151492,0.190363738946876,6.491055593040225,1.0,-1.0,0.0,-0.96875,0.96875,0.25,-1.0,1.0,0.0,1.0,-1.0,0.0
3750,0.0018310546875,1.0,0.17401532177022166,0.2339855168703283,6.587921580602369,0.9375,-0.9375,0.35073618720610084,-1.0,1.0,0.0,-0.96875,0.96875,0.25,0.96875,-0.9375,0.3045618763206198
4000,0.000244140625,1.0,0.19770661041364848,0.22053554393449537,6.65110525357735,0.96875,-0.96875,0.25,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0
4250,0.0009765625,1.0,0.36307472839856053,0.23977432738700696,6.689784199543417,1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,0.9375,-0.9375,0.35073618720610084
4500,0.002685546875,1.0,0.17396387468517613,0.256147556072397,6.75368518858232,0.90625,-0.90625,0.4260840516231733,-0.96875,0.96875,0.25,-0.96875,0.96875,0.25,1.0,-1.0,0.0
4750,0.00048828125,1.0,0.25758585989027744,0.2591116125779153,6.845851881697774,1.0,-1.0,0.0,-0.96875,0.96875,0.25,-1.0,1.0,0.0,0.96875,-0.96875,0.25
5000,0.0018310546875,1.0,0.2274698536637137,0.2224078958369709,6.929506561392404,1.0,-1.0,0.0,-1.0,1.0,0.0,-0.96875,0.96875,0.25,0.90625,-0.9375,0.390232938168661
